stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,20.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,65.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.25,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.06,0,5.14,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.12,4.54,0,0,19.01,0,0,0,0,23.55,0,5.73,0,0,0,0,0,0
 14-21,0,0,1.69,0.9,39.81,3.85,0,7.32,0,0,0,1,0,0,0,0,0,0,11.52,0,0,10.36,67.87,102.25,0,0,1.24,0,0,0,2.28,12.04,6.26,3.09,24.05,0,0,0,0,0
 24-34,0,0,0,3.07,94.43,1.28,0,15.98,1.86,0,6.3,4.53,0,0,1.25,0.7,2.19,0,67.53,0,0.89,24.11,157.82,18.08,0,1.59,0,0,4.47,0,0,28.26,0,2.25,25.62,0,0,5.32,0,0.93
 36-46,0,0,0,2.43,94.01,0,0,12.07,3.22,1.37,25.85,12.74,1.67,0,0.59,0,23.37,0,116.01,5.89,1.57,24.53,151.93,26.58,0,1.56,0,0,3.93,0,0,21.54,0,0.7,54.84,0,0.85,0.84,0,0
 48-58,0,0,0,0.94,113.84,0,0,25.18,8.66,3.37,28.25,11.57,0.61,0,0,0,19.11,0,120.89,0,4.37,18.17,97.68,26.36,0,2.54,0,0.56,2.28,0,0,29.03,0,0,18.67,0,0.51,0,0,2.83
 60-70,0,0,0,0,148.55,0.81,0,36.86,16.84,0.62,57.69,12.79,0,1.06,0,0,39.32,0,196.4,0,9.68,18.2,35.71,8.76,0,0.72,0,0,1.32,0,0,53.55,0,0,9.05,0,3.54,0.72,2.83,0
 72-82,0,0,2.96,0.56,81.65,0,1.22,79.87,17.67,10.19,53.56,14.79,0,0,1.66,0,160.59,0,186.33,2.84,2.98,22.81,48.14,2.8,0,12.76,0,3.7,1.17,0,0,80.74,0,0,2.58,0,9.68,0.81,2.83,0
 84-94,0.62,0,0.98,0.61,211.48,1.72,1.17,52.11,21.69,0,24.52,9.57,4.96,0.97,3.43,2.41,473.41,0,148.29,2.4,3.91,21.98,45.41,3.35,0.56,0.82,0,0,2.96,0,0,167.03,0,0,2.72,3.23,7.68,0.74,6.99,0
 96-106,0,0,0,0,126.42,7,2.36,64.03,15.63,2.38,38.95,9.22,1.61,0,1.23,0,899.61,1.26,115.26,4.97,1.5,7.91,138.73,5.46,2.72,0.74,0,2.87,12.05,0,0,150.16,0.74,0,11.54,1.68,3.4,8.25,8.78,2.71
108-118,0,0,1.22,0,194.47,1.64,1.52,71.75,19.9,5.71,55.94,16,0,0,0,0,1526.84,0,140.17,0.93,5.31,12.49,157.79,5.58,1.27,4.19,0,4.36,4.9,0,0,118.08,0,0,4.23,2.32,2.38,7.43,2.81,4.66
120,0,0,0,0,265.42,2.63,0,74.02,38.16,4.25,71.97,12.36,0,2.58,0,0,766.2,0,161.55,5.85,6.75,18.5,101.36,0,0,14.53,0,5.08,20.64,2.5,0,84.54,0,0,5.92,0,1.52,0,0,0
