stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.16,0,0,0,7.15,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.74,124.04,7.35,0,2.04,0,0,0,1.34,1.77,0,1.66,0,28.43,0,0,0,1.08,5.61,0,0,2.51,36.66,3.29,0,0.9,0,0,7.9,0.84,1,8.5,2.71,8.23,0,0,3.89,0,1.01
 24-34,0,0,0,111.8,0.95,0,9.87,0.9,1.41,0,2.03,0,0,6.63,0,22.39,0,0,0,13.43,16.68,0.6,0,7.65,44.83,0,4.69,0.83,0,0,27.04,0,0.69,0,5.19,30.71,0,0,24.22,0,18.05
 36-46,0,0,0,66.94,7.42,0,18.68,9.91,12.07,1.26,9.02,0,0.76,1.7,0,15.97,0,0,4.08,22.01,19.83,0,0,4.52,163.23,1.66,4.58,0.71,0,0,48.2,0,2.78,4.9,0,33.42,0,0,19.95,0,19.16
 48-58,0,0,0,52.43,0,0,40.22,16.21,17.33,0.59,23.95,2.38,0,0,0,13.29,2.49,0,0,43.84,39.49,8.12,0,5.89,163.08,1.08,3.98,0.38,0,0,18.27,0,0,4.34,0,35.16,0,0,13.92,0,32.11
 60-70,0,0,0,71.42,0,0,44.92,16.73,23.43,1.6,47.26,18.37,0,0,3.95,12.19,3.22,0,0,44.28,48.43,2.18,5.3,16.9,213.74,0,9.37,0.68,0,0,37.18,0,0,7.6,0,50.03,0,5.47,28.65,0,67.4
 72-82,0,0.69,0,37.47,4.79,0,77.4,10.17,8.24,10.21,51.35,41.5,0.65,3.84,5.4,30.29,3.55,3.83,9.26,8.13,158.25,10.3,10.8,3.3,273.48,0,8.06,8.41,0,1.42,26.52,0,0,3.03,0,42.98,1.01,6.09,24.38,7.34,25.59
 84-94,0,3.49,0,55.81,5.42,1.52,90.22,11.28,20.16,5.15,80.83,72.28,0,0,2.02,39.5,2.23,3.33,5.05,48.31,132.95,14.7,1.83,8.28,255.64,0,2,5.58,0,1.34,62.6,0,0,0.61,0,22.24,5.56,3.17,36.71,8.69,13.81
 96-106,0,2.8,0,75.53,2.65,0,93.29,18.75,13.8,8.17,32.93,70.67,0,2.2,7.99,53.73,3.38,2.07,25,15.18,112.5,6.87,19.13,12.19,241.98,5.52,7.32,8.42,0,1.82,99.72,0,0,0,0,14.3,1.01,4.9,42.75,13.35,34.48
108-118,0,1.97,1.33,119.72,2.81,2.72,106.22,3.48,14.67,4.6,57.11,66.99,0,4.22,7.38,82.38,15.98,1.88,17.12,36.08,202.38,12.81,9.83,23.1,329.93,1.89,2.02,4.03,0,6.13,95.31,0,0,2.85,0,10.38,7.89,3.97,14.82,7.41,32.05
120,0,0,0,145.63,9.93,0,62.45,7.29,25.51,12.23,121.17,70.2,5.2,0,5.95,72.89,14.41,12.87,39.32,8.78,350.33,9.1,2.18,12.05,580.24,0,23.54,28.53,0,9.21,101.56,0,12.14,4.42,0,28.47,7.87,13.27,62.11,9.47,54.05
