stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02,0,0,0,16.75,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.83,11.94,0,0,18.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.88,137.55,1.72,0,2.15,1.08,0,80.81,1.58,0,0,0,3.49,0,0,1.97,32.07,8.03,0,0,0,0,0,3.75,0,3.9,17.33,0,1.88,0,0
 24-34,0,0,0,0,15.48,1.46,0,0,0,4.81,110.61,1.81,0,0,0,9.04,0,0,2.11,48.21,0,0,0.74,0,0,0,0,0,0,14.6,0,5.5,0,1.2
 36-46,0,0,0,0,17.02,3.24,0,0,0,0,150.12,0,0,0,0,8.6,0,0,1.32,56.03,0.97,0,1.86,0,0,0,0,0,0,4.25,0,13.45,0,0
 48-58,0,0,0,2.89,0.39,3.72,0,3.1,0,0.58,214.37,0,0,0,2.19,6.26,0,0,0.84,22.84,2.95,0,1.07,0,0.4,0,0,0.53,0,9.04,0,8.65,0,0
 60-70,0,0,0,0,0,6.38,0,2.25,0,0,342.33,0,0,0,0,11.58,0,5.24,1.31,13.93,2.15,0,0,0,0,0,0,0,0,9.2,1.64,1.37,0.64,0
 72-82,0,0,0,0,0,8.07,0.75,2.84,0,0,306.47,0,0,0,0,7.4,0,0.96,1.93,10.73,0.52,0,0,0,0,1.16,0,0,0,5.61,0,8.45,0,2.94
 84-94,0,0,0,0,0,6.48,0,3.31,0,0,406.61,0,0,0,2.87,9.33,0,1.27,1.51,11.38,0,0,0,0,0,2.34,0,0,0,0,0,7.4,0,0
 96-106,0,1.07,0,0,1.88,18.79,0,6.32,0,0,491.19,0.75,0,0,0,8.63,0.71,0.59,1.02,6.29,0,0,0,0,1.32,5.7,0,0,0,1.96,0,14.5,3.84,6.64
108-118,0,0,0,0.42,1.69,8.23,1.76,3.84,0,0,379.57,0,0.42,0.61,0.51,5.31,0,0,1.01,16.18,1.28,0,0.81,0,0,2.63,0,0,0,3.99,0,5.06,0,0
120,0,0,0,1.81,0,0,0,4.77,0,0,499.8,0,0,0,0,4.49,0,0,0,32.35,1.17,2,1.05,0,0,0,0,0,0,1.57,0,4.31,0,0
