stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,14.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,22.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0,74.04,0,0,0,6.69,0,0,3.14,0,0,0
 14-21,0,0,1.21,0,0,0,0,1.76,0,0,0,0,0,0,22.91,1.33,0,0,0,0,0,0,5.17,0.91,0
 24-34,0,0,0,7.73,0,0,0,0,0,0,0,0,0,0,174.66,0,2.56,0.71,0,0,0,0,12.26,8.97,0
 36-46,0,0,0,24.34,2.76,0,0,0,0,0,0,0,0,0.73,571.43,0,0.93,0,0,0,0,0,47.31,0,0
 48-58,0,0,0,57.86,8.8,0,0,0.45,0.58,0,0,7.73,0,0.52,945.75,0,0,0,0,0.47,0,0,65.84,0,0
 60-70,0,0,0,83.92,6.53,0.85,0,0,0,0,0,2,0,8.86,1414.34,0,1.03,0,0,0,0,0,104.76,0,0
 72-82,0,2.37,0,111.71,9.89,0,0,0,0,2.8,0.79,4.8,0,0,1639.3,0,0.92,0,0,0,0,0,68.64,0,0
 84-94,0,10.48,0.76,87.32,10.09,0,0,0,0,0,0,4.57,0,0,997.14,0,0,0,0,0,0,0,65.48,8.39,0
 96-106,0,2.11,0,73.64,9.68,1.06,0,0,0,0,0,2.49,0.59,0,719.88,0,0,0.81,0,0,0,0,26.33,0,0
108-118,0,3.25,1.54,40.42,17.31,0,0,0,0,0,0.6,7.89,0,3.68,750.92,0,0,0,0,0,0,0,20.35,0,1.05
120,0,0,0,106,1.68,0,0,0,0,0,0,1.34,0,1.82,1117.17,0,0,0,0,0,1.45,0,11.62,0,0
