stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3.15,2.49,3.51,0,0,0,0,0,0,0.92,0,0,0,0,0,0.84,0,0,4.4,6.02,6.82,0,0,0,2.53,0.9,52.91,27.37,0.82,0,0,0,0,0
 24-34,0.7,0.64,0,6.87,9.34,0,0,0,0.63,0,7.6,0,0,0,0,1.19,7.47,0,0,13.74,38.73,0.73,0,0,0.92,0,0.63,25.39,18.82,2.81,0,0,5.9,0,5.22
 36-46,0,0.88,0,11,48.23,0,0,1.69,0,0,13.86,0,0.56,0,0,0,0.55,1.37,0,10.6,13.46,4.06,0,0,1.52,0,4.57,23.62,4.17,1.61,0,0,1.72,0,1.62
 48-58,0,0,0.43,11.66,18.79,0,0,2.24,0,0.54,4.21,0,5.32,0.41,0,0,7.51,0,0.46,8.4,25.29,7.72,0.64,0,0,0,0,16.06,0,6,0,0.89,3.03,0,0
 60-70,0,0,0,2.2,18.49,0,0,0,0,0,0,0,0,0,0,0,33.53,0,0,0.68,16.17,0.96,0.63,0,0,0,0.6,12.04,0,0,0,2.27,2.26,1.75,0
 72-82,0,0.68,0,15.45,4.03,2.07,0.89,5.46,0,0,2.25,0,0,0,0,0,29.93,0,1.86,4.81,16.65,1.04,0,6.11,0,0,1.41,3.17,0,0,0,9.46,3.07,7.28,0
 84-94,0,0.81,6.74,14.06,11.78,0,0,3.3,0,0,0.95,0,1.77,0,0,0,25.51,2.96,0.65,3.43,19.97,1.62,1.26,0,0.79,0,0.64,1.31,0,0.85,0,4.49,2.88,25.94,0
 96-106,0,0.83,1.75,41.17,8.99,0,0.99,4.98,1.02,0,1,0,1.29,0,0,0,23.75,0,1.06,7.41,18.02,1.05,0,3.28,0,0,0,1.42,0,0,0,21.91,24.21,9.21,0
108-118,0,3.81,2.44,14.95,7.65,0,0.73,7.99,0,0,1.52,0,5.69,0,0.88,4.99,37.6,0,0,10.58,6.07,2.1,0,15.34,2.1,0,3.15,5.17,0,0,0.83,10,8.22,6.2,1.88
120,0,3.39,1.1,14.94,29.77,0,0,6.22,0,0,1.17,15.5,2.02,0,0,0,98.41,0,8.27,20.51,12.87,35.42,0,20.09,0,0,1.62,8.56,0,8.06,0,5.78,0,16.37,0
