stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,81.95,813.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.33,0,0,0,0,0,0,0
  5-6,15.48,743.41,6.55,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,54.7,0,0,0,0,75.83,0,0,0,0,0,0,0
  7-9,0,13.63,31.38,0,0,28.53,0,0,0,0,0,0,0,0,0,0,0,0,0,331.39,0,0,0,35.7,0,0,0,0,0,0,0,0
 10-12,0,0,25.62,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,63.96,12.06,0,0,26.41,0,0,6.27,0,0,0,0,0
 14-21,0,0,2.88,10.34,13.29,0,0,0,0,0.9,0,0,0,0,0,5.23,0,0,1.77,8.42,0,0,1.06,0,1.11,1,0,14.62,0,0,0,0
 24-34,0,0,1.27,1.6,0,2.02,0,0,0,1.3,0,0.69,0.77,0,0,12.04,0,0,2.1,5.65,0,0,0,0,4.71,0,1.96,6.67,0,0,0,0
 36-46,0,0,0,0,0,3.64,0,0,3.95,0,0,0,0,0,5.73,1.43,0,0,0,15.9,0,3.2,0,0,9.22,0,0,2.48,0,2.36,0,2.01
 48-58,0,0,0,0,0,3.29,0.67,0.73,1.64,0,0,0,0,0,0,1.19,0,0,0.83,12.45,0.55,2.11,0,0,2.49,0,0.52,0,0,0,0,0
 60-70,0,0,0,0,0,1.68,0,0,1.03,0,0,0,0,10.83,0,9.81,0,0,1.01,38.04,0,0,0,0,4.41,0,3.68,14.45,0,0,0,0
 72-82,0,0,0,0,0,5.28,0,0,2.1,0,0,0,0,0,0,2.81,0,1.54,0,3.82,0,1.59,0,0,9.6,0,0.72,0.8,0,1.91,2.3,2.54
 84-94,0,0,0,0,0,6.39,0,0,0,0,0,0,0,0,0,2.86,0,0.58,0,1.75,0,0,0,0,2.17,0,0.74,0.62,0,1.29,0,0
 96-106,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,2.77,0,0.88,0,0,0,0,0
108-118,0,0,0,1.15,0,8.61,0,0,3.56,0,0,0,0,1.03,0,5.14,0.53,0,0,8.72,0,0,0,0,1.87,0,0,0,1.11,0,0,0
120,0,0,0,0,0,24.51,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1,0,0,0,0,6.01,0,1.73,0,0,0,0,0
