stage,epidermis,erythrocytes,eye,fin.epithelia,glial,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord
 14-21,0,0,0,0,0,0.8,0,0,0,3.63,0,0,0,0
 24-34,1.32,0,0,0,0,0,0,2.24,0,0,0,0,0,0
 36-46,0,0,2.1,0,0,0,0,4.27,0.67,1.3,0,0,0,0
 48-58,0,0,13.65,0,3.28,0,0,1.69,0,3.81,0,0,0,0.43
 60-70,0,0,5.9,1.31,0,0,0,11.03,0,0,0,1.84,0.65,0
 72-82,0,0,2.96,0,0,0,1.36,27.82,0,5.58,0,0,0,0
 84-94,0,0,2.32,0,0,0,0,0,0.68,0.65,0,0,0,0
 96-106,0,0,4.64,0,0,0,0,0.92,0,2.71,0,0,0,0
108-118,0,6.92,0,0,0,0,0,0,0,3.29,0.47,0,0,0
120,0,0,2.91,1.37,0,0,0,0,0,0,0,0,0,0
