stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,5.98,0,0,0,0,0,2.11,172.57,0,0,0,0,0
 24-34,1.49,0,0,3.58,86.37,0,0,0,0,1.24,0,0,0,0,0,4.05,0,27.89,72.36,3.84,1.63,0,5.66,0,11.09,150.85,8.51,0,0,0,0
 36-46,0.82,0,0,1.31,258.69,0,0,11.37,0,0,0,0,0,0,0,1.41,0,32.73,57.23,0,0,0,6.36,0,36.67,10.64,8.67,0,3.83,0,0
 48-58,2.75,0,0,21.17,222.54,2.36,0,8.57,0,0.67,0,0,0,0,0.59,8.66,0,26.39,88.96,8.98,0,0.65,1.64,0,16.91,0,22.68,0,0.52,0,4.53
 60-70,0.76,0,0,17.82,88.61,0,0,25.31,0,0,0,0,3.44,0,0,12.08,2.76,22.31,68.17,0,1.56,0,0,0,26.34,0,23.82,0,0,0,0
 72-82,2.7,0,0,16.21,52.24,0,0,15.47,0,1.12,0.93,0,0,0.96,0,5.17,0,29,29.94,0,1.88,0,0,0,0.49,0,10.04,0,0,0,0
 84-94,0,2.37,0,35.88,68.48,0,0,4.06,0,0,0,1.17,0,1.22,0,15.42,0,10.84,33.34,0.62,0,0,4.6,0,17.07,0,0,0.68,0,2.65,0
 96-106,2.16,14.2,5.7,43.32,91.28,0,0,24.45,0,0,12.58,0,1.9,8.71,0,22.04,0,11.87,42.16,0,0,0,9.6,3.82,0.57,0,2.99,0,1.88,0.72,8.03
108-118,4.33,0.57,0,6.05,90.39,4.06,2.14,4.34,1.4,0,5.27,1.71,0,6.53,0,13,0,28.07,35.67,0,0,0,5.96,0,6.83,0,8.19,0,0,0,0
120,1.07,2.63,0,25.93,104.15,0,0,6.07,0,0,7.08,0,0,0,0,32.06,0,23.78,36.18,0,0,0,3.02,0,0,0,3.8,0,0,0,0
