stage,eye,glial,mesenchyme,pronephros,spinal.cord
 14-21,0,0,0,0.9,0
 24-34,0,0,0.7,0,1.29
 72-82,0,1.46,0,0,0
 84-94,0.81,0,0,0,0
 96-106,0,3.16,0,0,0
