stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,39.39,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.04,0,0,0,0,0,18.44,0,0,12.37,0,0,0
  7-9,0,0,0,0,0,0,0,0,8.14,0,0,0,0
 24-34,0,0,0,0,0,0,1.09,0,0,0,0,0,2.05
 36-46,0,0,0.62,0,0,0,1.48,0,0,0.84,0,0,0.92
 48-58,0,0,0,0,2.43,0,4.15,0,0,0,2.4,0.61,1.42
 60-70,0,0,1.46,0,0.62,0,5.79,0,0,0,2.31,0,0
 72-82,0,0,2.67,0,3.84,2.41,6.83,0.61,0,0,0,0,0
 84-94,0,0,0,0,8.3,0,5.47,0,0,0.6,0,0,0
 96-106,0,1.3,7.61,2.37,0,0,0,0,0,0,0,0,0.68
108-118,0,0,9.3,2.62,0,0,0,0,0,0,0,0,0
120,0,1.43,0,0,1.59,1.9,0,0,0,0,0,0,0
