stage,axial,epidermis,eye,glial,gut,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.58,0,0,17.44,0,0,3.78,0,0,0,0,0
 14-21,0,0.89,0,0,0,0.93,0,0,0,0,5.65,0,0,0,0,0,0,1.13,3.8,0,0,0
 24-34,0,2.15,1.4,0,1,0,2.57,1.9,0,0,0,0,0,0,0,0.78,0,0,0,0,0,1.2
 36-46,0,0,0,0,0,0,0.56,2.68,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,1.42,0,0,0,0,0,0,0.54,0.96,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,3.21,0,0,0,0,0,0.88,0,0,0,2,0,0,0,0,0,0,3.86,0,0,0
 72-82,0,0,3.1,3.03,0,0,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,3.86,0,1.39,0,0,6.02,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,4.7,2.49,8.74,0,0,7.39,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0
108-118,0,4.66,0,1.78,0,0,3.88,4.42,0,0,1.37,0,1.09,0,0,0,0,0,0,3.95,0.45,0
120,0,0,11.25,5.21,0,0,6.13,3.18,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0
