stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,mucous,mural.cell,muscle,neural,paraxial.mesoderm,spinal.cord,taste,vasculature
  3-4,16.84,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,15.47,0,0,0,0,0,0,33.88,13.08,0,0,0
 10-12,9.64,0,0,0,0,0,0,0,0,31.31,0,0,0,0
 14-21,0,0,1.22,0.87,0,0,0,0,0,3.14,0,0.96,0,0
 24-34,0,0,5.53,1.67,0,0,0,0,0.65,18.47,0,3.99,0,0
 36-46,0,0,0,0.91,2.99,6,0,0,0,8.85,0,2.87,0,0
 48-58,0,0,1.08,0.68,0,2.55,0,0,0.98,6.89,0,0,0,0
 60-70,0,0,5.78,0,0,1.62,0,0,0,6.46,0,1.13,0,0
 72-82,0,0,1.23,0,0,4.38,0.89,0,0,8.71,0,0,0,0.63
 84-94,0,0,0.67,0.73,0,0,0,2.87,0,12.03,0,1.09,0,0
 96-106,0,0,0,0,0,3.48,0,0,0,5.91,0,2.28,0.62,0.74
108-118,0,1.22,0.87,0,0.55,1.61,0,0,0,15.36,0,3.42,0.43,1.22
120,0,0,5.46,1.14,0,7.21,0,0,0,0,0,0,0,0
