stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,35.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0
  5-6,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.61,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,5.42,0,0,4.58,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,25.87,0,0,14.43,0,0,0,0,0
 14-21,0,2.1,0,0,0,0,0,0,0,0,0,0,1.1,0,0,1.1,2.59,0,0,1.33,0,0,1.93,0,0
 24-34,0,4.2,0,1.81,0,0,0,0,0,0,0,0,2.04,0,0,0,14.01,0,0,0,0.96,0.73,0,5.38,0
 36-46,0,0,0,1.89,0,0,2.15,0,0,0,0,0,0,0.63,0,0.81,10.49,0,0.65,0,0,0,0,3.38,0
 48-58,0,0.38,1.32,4.61,0,0,9.33,0,0,0,3.05,0,3.58,0,0,0,15.71,0,0,0,1.27,0,0,0.84,0
 60-70,0,3.27,0,5,0,8.05,3.39,0,0,0,0,0,1.29,0,0,0,5.49,0,0,0,2.26,0,0,0,0
 72-82,0,0,0,1.75,0,0,2.3,0,1.02,0.86,6.77,2.9,8.74,0,0,0,0.93,1.86,0,0,0.72,0,0,0.85,2.2
 84-94,0,0.75,0.61,2.12,0,4.23,0,0,0,1.06,0.78,0,7.71,0,0,0,3.89,0,0,0,1.98,0,0,0.66,0
 96-106,0,0,0,2.32,0,0,7.3,0.63,0,0,3.74,0,5.76,0,0.92,0,0,0,0,0,7.03,0,0,0,1.1
108-118,0,1.72,1.09,7.6,1.32,0,11.07,1.28,0,0,1.76,0,1.12,0,0,0,6.34,0,0,0,4.06,0,0,0,0
120,0,1.72,1.88,4.93,0,0,34.41,0,0,0,12.67,0,4.52,0,0,0,6.91,0,0,0,1.01,0,0,0,0
