stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,hatching_gland,heart,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,36.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.85,0,0,0,0,3.74,0,0,0,0,0,16.58,4.8,0,0,9.17,0,0,0,0
 10-12,0,0,13.23,0,0,0,0,0,0,0,0,0,0,124.2,8.87,0,0,15.07,0,17.91,0,0
 14-21,0,1.07,0,8.96,0,57.92,0,0,0,0,0,3.91,0,28.43,2.75,1.44,12.19,2.93,0,35.25,0.81,164.31
 24-34,0,0.75,0.76,2.73,1.8,53.81,0,0,0,0,0,2.09,0,39.64,0.75,15.2,2.57,0,0,23.05,2.19,121.29
 36-46,0,0,0,0.58,0,40.66,0,0,0.56,0,0,0,0,36.26,0,20.29,0,0,0,16.31,0,76.22
 48-58,0,0,0,0,2.42,42.64,3.41,0,0,0.79,0.43,0.59,0,18.16,0,15.17,4.24,0,0,1.46,0,61.47
 60-70,0,0,0,0,0,46.33,0,0,0,0.6,0.68,0,0,12.89,0,7.99,14.67,0,0,0.83,0,27.62
 72-82,0,0,0,0,3.8,15.56,0,0,0,2.11,6.87,0,0,37.2,0,24.49,6.13,0,0,0.86,0,10.62
 84-94,0,1.33,0,0,4.53,17.56,0.84,0,0,2.73,0,0,0,37.76,0,19.04,16.05,0,0,6.57,0,17.65
 96-106,0,0,0,0,3.36,12.7,0,0,0,5.72,0.86,1.35,0,14.23,0,28.23,11.13,0,3.37,0.77,0,20.97
108-118,0,0,0,0,0.99,20.88,0,0,0,3.31,2.1,0.73,0,18.82,0,27.84,11.74,0,0,2.27,0,13.44
120,0,0,0,0,0,8.81,0,0,0,1.07,1.43,4.09,1.28,31.45,0,34.46,11.36,0,0,5.04,0,5.56
