stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.51,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.21,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.38,215.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.23,16.49,0,3.91,0,0,50.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.66,3.58,0,0,121.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.77,0,7.4,0,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521.32,8.87,0,0,104.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.86,62.56,3.38,18.71,0,0,0,11.84,0,2.29,0,0,0,0,2.61,1.01,20.54,0,0,20.82,357.95,9.74,0,0,6.23,0,1.57,0,36.63,4.07,0,35.02,91.72,0,0,5.82,0,0
 24-34,0,0.83,0.84,1.47,18.1,0,47.54,0,2.54,0.79,10.91,0,0.68,0,1.3,0.92,0.91,9.06,8.03,83.49,0,0,32.65,688.11,1.44,4.44,3.14,0,0,7.69,0,0,0.94,0,7.55,133.66,0,0,29.05,0,0
 36-46,0,0,0,0,15.84,0,91.09,4.7,2.18,1.23,35.01,0,0.72,0,0,0,2.16,3.07,7.3,44.9,0.87,0,10.45,357.44,1.22,8.57,0.6,0,1.69,2.91,0,0,10.35,0,0,106.41,0,0,4.78,0,3.49
 48-58,0,0,0,0,18.29,3.66,139.13,0.82,0,2.17,34.1,0.41,1.86,0,0,4.96,0.41,2.82,5.47,74.42,0.53,4.63,21.15,178.85,0,1.4,3.97,0,0,9.95,0,0,0,0,0,53.13,0,0,4.69,0,11.17
 60-70,0,0,0,0,4.83,0.77,116.98,1.32,3.01,1.38,46.11,0,0.77,0,0,0,0,0,0,85.48,0,9.59,4.59,178.82,0,2.62,3.41,0,0,11.96,0,0,0.67,0,0,20.66,0,1.65,4.93,2.76,0
 72-82,0,0,0,0,8.71,0.5,49.73,0,0,3.09,41.45,0.53,1.7,0,0.75,0,0.99,4.08,5.99,96.31,2.69,4.02,9.58,103.78,0,4.1,5.43,0,1.53,3.69,0,0,2.25,3.1,0,20.58,0,0,7.64,0.58,2.96
 84-94,0,0,5.29,0,24.85,1.08,43.81,0,3.31,1.74,37.79,2.76,1.31,12.33,1.29,6.48,1.6,0.68,2.16,88.32,0,8.88,10.18,90.09,0.65,5.06,4.34,0,0,13.23,1.4,0,3.4,0,0,23.71,3,0.75,11.45,0,4.6
 96-106,0,0,2.73,0,14.42,3.47,40.25,0,1.77,2.14,32.92,1.7,0.62,4.02,0.6,0.76,4.81,11.77,0,80.47,1.66,1.28,12.48,90.81,0,8.9,5.18,0,3.05,10.27,0,0,1.24,0,0,8.26,0.59,1.01,21.9,4.54,6.77
108-118,0,0,1.47,0,17.2,5.43,61.09,0.42,5.07,3.14,29.36,1.6,1.49,2.85,1.93,2.37,3.17,1.68,3.12,107.77,1.3,5.95,10.44,116.77,2.13,7.1,4.64,0,1.68,7.71,0,0,0.43,0.41,0,11.58,1.52,1.37,14.66,0,8.77
120,0,0,3.29,0,18.46,4.47,50.57,0,4.47,2.45,67.8,1.2,1.54,8.3,0,0,5.54,0,0,76.25,0,15.97,6.89,166.4,0,3.52,4.55,0,0,4.45,0,0,0,1.32,0,8.48,2.64,0,7.59,10.7,2.59
