stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.77,29.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,19.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.79,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,10.73,0,0,0,0,0,0,0,0
 10-12,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,0,1.21,0,0,0,0,7.67,1.28,0,1.15,0,0,0,1.07,0,3.07,2.23,0,0,1.15,1.23,5.73,29.27,0,0,0,0
 24-34,0,0,0,0,2.63,0,0,2.52,0,3.86,0,0,0,0,0,0,1.4,0,31.58,11.89,1.46,0,0,0,2.53,23.81,0,0,0,0
 36-46,0,0,0,0,0,0,5.04,0,0,0.6,0,0,0,0,3.34,0,2.84,0.93,96.13,10.43,0.8,0,0.72,0,0,16.72,0,0,0,0
 48-58,0,0,0.53,0,0,0,38.48,0,0,11.74,0,0,0,0,0,0,0.58,0,87.02,7.74,0.63,0,0,0,0.4,25.87,0,0,0,0.54
 60-70,0,0,0,0,1.44,0,49.53,0,0,97.86,1.26,0,0,4.18,0,0,0.87,0,140.6,9.43,0.63,0,0,0,0,21.91,0,0,0,10.27
 72-82,0,0,6.69,1.12,2.73,0.54,33.24,0,0,185.82,3.21,0,0,0,9.09,0,2.18,0.71,124.5,19.03,6.72,0,0.72,0,2.94,5.55,1.58,6.57,0,0
 84-94,0,0,3.4,0,0,0,33.94,0,0,139,5.81,0,0,0.65,2.24,0.74,1.91,0,95.54,14.65,0.99,0,0,0,0,9.21,0,0,0,0
 96-106,0,0,4.26,0,4.43,0,67.58,0,11.17,239.89,10.95,0,0,0,4.69,3.07,5.9,0,97.87,9.76,9.49,0,0,0,0,8.51,0.67,1.9,0,0
108-118,0,0,4.63,0,2.72,0,50.92,0,0,153.94,12.39,0,0,0,1.86,1.74,4.14,0,109.8,13.35,14.43,0,0,0,0,0.89,0,0,4.04,0
120,0,0,11.42,3.17,5.94,0,42.66,0,0,141.62,14.78,0,0,0,4.94,1.4,0,0,209.83,8.24,14.03,0,0,0,0,0,0,0,0,0
