stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,70.28,1087.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0,0,0,0,0,0
  5-6,87.96,1874.87,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,39.14,0,0,0,17.07,0,9.78,0,0,0,0,0,0,0,0,0,0
  7-9,17.67,33.47,0,75.39,0,5.95,77.27,0,0,0,0,0,33.82,0,0,0,0,0,0,0,0,0,0,1143.73,24.32,0,0,315.45,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,29.26,0,13.78,0,4.67,44.4,0,0,0,0,0,12.43,0,0,0,0,0,0,0,0,0,0,710.48,16.85,0,0,199.51,0,0,0,29.75,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,1.14,7.77,0,8.76,0,0,0,5.8,0,0,0,0,0.82,0,0,0,0,21.55,0,4.8,243.76,1.77,4.14,2.06,2.58,0,0,13.49,0.86,2.55,17.49,87.05,0,0,0,0,0
 24-34,0,0,3,2.14,3.28,1.11,33.01,0,0,0,14.19,0.71,0,0,0,0,0.92,0.63,0.68,0,32.88,0,15.69,658.8,1.09,6.15,4.21,0,0,2.03,0,0,0,2.14,117.41,0,0,2.08,0,3.82
 36-46,0,0,0,0,1.93,0,73.99,0,0,0,50.46,0.72,0,0.72,0,0,0,0.65,3.17,0,46.19,0,3.32,719.8,0.59,2.71,5.6,0,0,0,0,0,0,0,158.09,0,0,1.07,0,0
 48-58,0,0,0,0,4.07,0,136.84,0,4.05,0.5,59.53,0.61,0,2.33,0,0,0.38,0.88,0,0.78,69.43,1.74,9.53,786.92,0,6.65,5.46,0,0,0.83,0,0,2.49,0,208.16,0,0,1.33,0,5.74
 60-70,0,0,0,0,7.2,0,142.42,3.43,2.42,5.24,44.14,0,0,0,0,0,0,0.84,0,0,46.41,0.95,7.63,674.33,0,2.52,3.47,0,0,0.68,0,9.51,0,0,109.5,0,0,0,0,0
 72-82,0,0,0,0,3.31,0,125.46,0,6.97,2.97,62.32,0,0,0,8.75,0.54,0,1.79,0,0,92.18,0.65,5.59,545.91,0,4.52,4.1,0,0,3.26,0,0,0,0,41.76,0,1.62,9.93,1.83,0
 84-94,0,0,0,0,3.28,0.77,111.18,0,0.66,1.09,19.28,0,0,2.33,0,0,0.58,0.66,0.56,0,59.99,0.97,9.26,312.96,0.72,4.33,7.69,0,1.65,1.22,0,0,0,0,53.04,1.03,0,5.96,5.53,0
 96-106,0,0,0,0,3.63,2.11,76.19,0,0.69,2.93,32.64,0,0,0,0,0,1.57,0.63,0,0,54.11,0,1.78,305.76,0,6.91,8.23,0,2.01,7.24,0,0,0,0,30.53,1.02,0,2.53,2.87,0
108-118,0,0,0.57,0,6.14,0,52.16,0,0,1.29,23.83,0,0,0,1.63,0.51,0.68,0.6,1.85,1.1,46.1,1.89,2.36,338.45,0,0,6.88,0,2.93,1.71,0,0,0.44,0,11.56,0.52,0.92,0,4.72,0
120,0,0,0,0,23.84,0,99.9,0,1.27,15.43,57.46,0,0,2.27,0,0,1.01,0,0,0,69.58,7.63,8.11,388.28,4.62,5.06,13.17,0,0,2.6,0,0,0,0,10.98,5.98,8.16,0,10.22,9.68
