stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,54.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.03,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.57,0,0,4.73,0,0,5.85,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,9.47,7.68,0,0,0,0,0,0,0,3.51,2.32,25.4,0,0,0,0,0
 24-34,0,0,0,0,0,0,2.88,0,0,0,2.39,0,0,0,0,0,0,4.55,0,0,4.54,18.05,3.24,0,0,0,0,0,0,0,0,38.92,0,0,0,0,0
 36-46,0,0,0,0,0,0,7.92,0,0,0.94,0,0,0,0,0,0,0,2.31,0,0,0,17.03,1.97,0,0,0,0,0,0.75,0,0,15.57,0,0,0,0,0
 48-58,0,0,0,0,0,0,199.52,0,1.4,2.27,3.57,0,0,0,0,0,0,4.54,0,0,3.01,46.09,0.88,0,0,0,0,0,0,0,0,16.16,0,0,0,0,0
 60-70,0,0,0,1.15,0,0,2610.59,0,3.9,0,9.78,0,0,0,0,0,0,13.43,0,0,0,139.28,0,0,0,0,3.93,0,0,0,0,21.77,0,0.71,0,0,0
 72-82,0,0,0,14.07,0,0,2830.93,0,0,1.89,32.54,1.38,0,3.16,0,4.56,0,21.84,0,2.15,0.83,249.34,0,0.91,0,1.99,0,0,0,0,0,16.26,0,0,6.37,1.28,1.19
 84-94,0,0,0,4.42,0,0,1893.08,1.26,0,0,37.45,0,0,1.47,0,2.77,0,33.83,0,1,1.11,181.28,0,0.79,0,0,10.21,0,0,0,0,23.82,1.79,0,2.23,1.45,5.99
 96-106,0,0.91,0,15.26,2.42,0,2552.7,0,1.16,0,31.57,0.85,1.61,5.13,0.68,5.54,15.67,27.62,3.47,1.76,0.58,247.86,3.78,0,0,0,3.74,0,1.4,0,0,12.57,0,0,6.26,1.24,0.8
108-118,0,0,0,20.89,2.73,0.95,2325.53,0,0,0,28.86,1.17,0,0,0,9.62,2.4,18.48,0,2.97,0,237.95,0,0,0,0,8.74,0,0,0,0,2.71,0,0,0,1.03,0
120,0,0,0,21.45,0,0,1094.87,0,0,16.18,18.02,1.21,2.63,0,0,31.98,0,30.99,0,0,0,454.45,3,0,0,0,35.59,0,0,0,0,14.33,0,0,0,0,0
