stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,pgc,presomitic_mesoderm,somites,spinal_cord,taste
 14-21,2.12,1.96,0,0,0,0,0.94,0,0,0,0,0,0.88,19.15,0,0,0,0,0.85,0.84,4.42,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,34.29,0,0,0,0,0,0,6.57,0
 36-46,0,0,0,2.96,0,0,0,0,0,0,0.73,0,0,127.65,0,0.72,0,0,0,0,12.22,0
 48-58,0.42,1.85,0,21.6,0,0,0.61,0,0,0,0.43,0,0,269.48,0.42,0,0,0.65,0,0,17.11,0
 60-70,0.89,1.63,0,188.97,5.04,0,5.76,1.05,0,0,2.2,0,0,432.27,0,0,0.96,0,0,0,29.14,0
 72-82,0,1.04,0,654,0,0,9.59,0.56,0,0,4.57,0,0.84,568.49,0,1.32,1.4,0,0,0,3.54,0
 84-94,0.74,10.65,1.94,514.57,0,0,15.23,0,0.74,10.35,8.41,2.23,0,385.91,0,2.67,0,0,0,0,14.26,0
 96-106,0,3.5,17.52,480.57,0,0,21.02,0.67,0,0,5.71,0,0,362.9,0,0,0,0,0,0,4.48,0
108-118,0,12.64,0,655.29,0,0,24.4,0,0,0,6.03,0,0,462.07,0.62,0.89,0,0,0,0,9.08,0.52
120,0,2.81,0,600.87,0,11.95,20.43,2.62,0,0,4.24,0,0,690.09,0,0,0,0,0,0,9.96,0
