stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,988.92,18899.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734.27,0,0,0,0,0,0,0,0,0
  5-6,1784.43,26904.66,40.87,0,0,0,0,0,0,0,0,62.86,0,0,0,0,0,0,0,0,0,0,0,649.18,62.24,0,0,238.63,0,816.42,0,0,0,0,0,0,0,0,0
  7-9,373.52,594.2,573.29,0,5.98,0,1472.77,0,0,0,0,467.76,0,0,0,0,0,0,0,0,0,0,0,15163.18,355.19,0,0,4931.34,0,50.15,136.37,0,0,0,0,0,0,0,0
 10-12,0,244.18,497.74,0,57.62,0,761.43,0,0,0,0,65.37,0,0,0,0,0,0,0,0,0,0,0,7152.43,127.22,0,0,2472.94,0,3.3,115.91,0,267.69,8.65,19.47,0,0,0,0
 14-21,0,0,18.32,103.96,37.86,0,55.69,0,0,11.21,10.42,1.35,2.08,0,1.73,0,1.25,1.46,0,67.64,0,0,57.23,1067.99,26.12,6.28,21.84,26.44,0,39.33,1.81,131.64,5.21,50.8,338.02,0,0,3.1,0
 24-34,0,0,6,35.24,9.12,0,176.67,1,2.33,33.11,1.08,6.79,4.23,6.6,1.4,3.82,2.44,1.9,0,179.79,1.16,0,59.6,2156.88,10.27,13.16,10.59,0,0,60.51,0.86,3.08,2.97,11.41,396,0,0,25.04,1.55
 36-46,0,0,0.56,48.93,0.56,0,547.42,2.04,3.07,45.54,0,0,1.34,21.09,2.43,4.55,3.38,0,0,239.88,0,4.67,54.54,1756.9,4.27,9.95,8.42,0,0,69.06,0,0,0.62,0,364.05,0,0,12.87,3.4
 48-58,0.58,0,0,27.84,2.3,0,687.12,0.4,0,43.29,1.96,0,4.09,7.51,0,10.16,6.87,4.89,0,180.33,1.03,18.68,42.93,990.01,1.43,2.13,6.74,0,0,20.95,0,0,4.97,0,152.52,0,0,20.02,7.41
 60-70,0,0,0,28.33,2.95,0,520.2,1.96,0,73.18,1.53,0,0,0.95,2.48,0.97,2.24,0,0,136.58,0,13.08,41.01,427.38,2.71,7.21,3.93,0,1.44,3.42,0,0,0,0,29.84,0,0.94,5.96,4.31
 72-82,0,0,0,22.78,0.49,0,159.15,0,0.59,46.44,3.88,0,0,9.73,0.7,1.84,0,0,1.81,135.53,0.73,13.86,11.09,258.73,1.43,4.55,2.83,0,0.71,5.24,0,0,0,0,12.17,0,0.61,17.66,0
 84-94,0,0,0,19,3.76,0,167.22,0.61,1.12,27.28,4.55,0,5.23,9.02,1.83,5.51,0.66,3.63,0,124.68,6.09,14.29,24.44,210.25,1.53,4.11,7.15,0,0,15.48,0,0,2.46,0,2.86,2.15,0.84,14.76,3.06
 96-106,0,0,0,8.82,0,2.28,102.43,0,0,46.49,3.26,0,1.54,9.34,1.46,0,2.16,1.45,0,65.61,0,9.23,10.41,177.54,0,5.37,0.73,0,0,9.52,0,0,0,0,4.87,0.67,0,22.23,0.79
108-118,0,0,0,8.38,2.42,0,103.75,10.06,2.15,33.13,3.62,0,2.12,11.11,0.63,2.81,3.78,1.96,0,45.79,0,3.54,12.59,233.07,1.52,7.51,9.04,0,0,7.08,0.48,0,0.87,0,1.01,0,1.1,16.57,0
120,0,0,0,13.98,6.26,0,109.81,0,2.45,48.87,0,0,0,6.27,0,0,0,0,0,69.18,0,0,10.86,332.41,0,0,7.14,0,0,6.12,0,0,0,0,6.35,0,0,11.96,0
