stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,74.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.95,0,18.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.75,3.99,0,0,14,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,1.1,4.32,0,0,0.98,0,0,0,3.3,1.14,0,0,0,0,0,0,0,5.91,0,0,1.89,24.85,0,0,0,0,0,0,0.85,0,2.58,8.48,0,0,1.5,0,0
 24-34,0,0.71,1.33,5.35,0,0,2.87,0,0,0,3.59,0,0,0,3.16,0,0,0,0,1.1,1.24,0,2.41,171.3,0,4.92,2.68,0,0,0.92,0,0,0.69,75.57,0,0,1.71,0,0
 36-46,0,0,0,0,0,0,6.16,0,0,0,8.18,0.78,0,0,0,0,0,5.03,0,7.21,0,0,6.22,529.12,0,45.49,0,0,0,0,0,0,0,160.5,0,0,0,0,0
 48-58,0,0,0,5.25,0,0,46.48,0.84,0.39,0.46,13.17,1.26,0,0.55,0,0,0,0,0,16.38,0,0,2.83,805.43,0,39.72,5.72,0,0,2.7,0,0,0,161.41,0,0,1.02,0,1.61
 60-70,0,0,0,1.15,0,0,74.68,1.78,0,0.8,14.92,0,0,0,0,9.62,0,0,0,12.29,0,0,6.91,1108.98,0,34.44,8.73,0,0,4.18,0,0,0,173.26,0,0,0.73,0,2.91
 72-82,0,2.42,0,6.66,8.18,0,194.6,0,0,3.13,33.18,0.72,0,4.22,0,0,1.96,0,6.03,22.59,0,10.36,1.56,1963.16,0.61,100.02,6.4,0,0,0,0,0.97,0,220.77,0,0,1.13,0,3.18
 84-94,0,1.96,0,5.99,0.61,0,135.33,0,0,1.45,21.12,0.62,0,1.62,0,0,0,0,0,35.32,0,3.91,5.08,1227.9,1.53,56.4,6.36,0,0,7.87,0,0,0,110.39,0.9,1.47,4.8,0,0
 96-106,0,6.03,0,8.28,0,0,120.03,0,0,4.4,26.77,0.69,0,8.54,1.06,0,0,0,0,33.82,0,0,1.31,1211.54,0,160.13,11.94,0,2.14,2.16,0,0,0,119.57,0,0,4.02,0,8.23
108-118,0,0.64,0,12.64,0,0.5,110.69,0,0,1.66,36.3,12.83,3.99,1.81,0,0,0.52,0,0,22.12,0.43,0,0.43,1780.08,0,110.83,17.09,0,0,1.61,0,0,0,82.15,0.83,0,5.33,0.57,0
120,0,1.37,0,7.13,0,0,69.42,0,2.77,0,53.62,0,0,0,0,0,0,0,0,31.09,0,0,0,1941.77,0,68.66,8.97,0,7.36,3.21,0,0,0,81.76,1.37,0,0,0,0
