stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,85.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,199.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.69,0,0,0,21.58,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.09,0,0,1.34,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0.91,0.83,0,0,49.5,0,0,0,0,0
 24-34,0,0,1.66,0.6,0,0,89.7,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,16.41,2,0,0,0,0,10.72,0,0,0,0,56.72,0,0,0.64,0,0
 36-46,0,0,0,2.67,0,0,513.45,0,0.8,0,0,0,0,0.67,0,0,0,0.57,0,6.74,0,0,1.88,19.83,0,1.2,0.84,0,0,16.22,0,0,0,0,6.09,0,0,0.7,0,0
 48-58,0,0,0,26.05,0,0,1257.85,0,0,0,0,0,0,0.5,0,6.37,0,0,0,32.88,0,0,1.03,85.27,0.63,0,0.69,0,0,0,0,0,0,0,17.87,0,0,0.47,0,0
 60-70,0,0,0,44.22,0.7,0,2844.4,0,9.22,2.12,22.13,0,0,0,0,0.85,0,0,0,113.57,0,0,0,126.19,0,0,0,0,0,33.91,0,0,0,0,6.07,0,0,0.92,0,0
 72-82,0,0,0,94.29,20.98,0,4677.36,0,0.51,0,52.64,0.56,2.03,0.98,0,9.15,0,0.62,0.49,302.69,0,8.42,4.28,255.63,0,0.54,4.35,0,0,205.89,0,0,2.57,0,13.3,0.78,2.26,1.52,1.91,24.23
 84-94,0,0,0,210.06,19.43,0,4496.06,1.38,3.77,1.47,63.78,2.33,0,1.03,0,9.63,0,0,0,398.35,5.12,1.48,0,223.29,0,0,9.21,0,0,713.75,0,0,1.97,0.66,29.91,0,1.89,0,0,0
 96-106,0,0.95,0,335.08,47.41,3.4,4704.78,13.31,25.24,5.14,158.7,15.87,0,2.74,2.44,11.51,1.3,6.05,0,987.41,2.28,1.14,2.14,459,0.59,3.33,5.6,0,1.51,1873.31,0,0,0,0,7.17,9.57,1.93,21.42,4.87,4.14
108-118,0,0,0,657.36,13.44,1.24,5557.02,0.48,40.03,1.9,232.16,5.93,0.99,2.82,6.2,4.85,0.89,10.67,0.72,1461.52,6.63,6.46,10.44,460.36,0.51,1.89,0,0,1.37,3188.64,0,0,1.71,0.5,12.53,8.01,2.09,9.67,0,2.03
120,0,0,0,743.25,30.81,14.42,6878.98,0,50.34,2.81,214.43,9.2,3.15,1.42,12.63,0,0,56.05,0,1696.6,10.56,36.62,5.83,626.13,0,1.26,9.51,0,25.9,2651.54,0,0,1.21,0,10.15,0,0,1.96,0,0
