stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,67.04,475.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.72,0,0,0,0,0,0
  5-6,37.09,444.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.88,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.42,0,0,0,18.94,0,0,0,4.94,0,0,0,0,0,0,103.89,7.34,0,0,15.84,0,0,0,0,0,0,0
 10-12,0,0,6.6,0,0,13.55,0,0,0,0,0,0,0,18.67,0,0,2712.78,10.05,0,0,94.12,0,0,53.23,0,9.81,0,0
 14-21,0,0,0,903.35,5.76,2.21,0,0,2.63,0,0,3.64,0,2.66,8.53,3.11,353.75,7.8,0,6634.36,1.7,19.46,5.51,9.87,25.75,25.22,1.41,0
 24-34,0,0,0,121.1,3.25,4.62,0,0,1.4,0,1.7,0.68,8.9,0,8.89,0.81,97.12,0,5.28,1430.4,0,0,0,0,0,23.33,1.77,5.95
 36-46,0,0,0,18.72,0,20.38,0,0.6,3.09,0,0,0,0.73,0,14.11,1.37,79.03,0,0.82,384.18,0,8.28,0,0,0,18.09,0,0
 48-58,0,0,0,4.42,0,5.78,0,0.49,0,0,0,0,0,0,5.96,0,44.01,0,0,133.3,0,1.11,0,0,0,7.79,0,0
 60-70,0,0,0,1.6,0,30.29,0,0.86,5.46,0,0,0,0,0,1.3,0,67.25,0,0,19.63,0,0,0,0,0,1.52,0.87,0
 72-82,0,0,0,0,0,16.78,0,0,0,0,0,0,0,0,2.73,0.5,24.22,0,2.57,17.51,0,0,0,0,0,5.93,0,0
 84-94,0,0,0,2.81,0,8.29,1.19,0,0.7,0,0,0,0.66,0,3.22,1.02,24.91,0,1.86,33.71,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,7.15,0.71,0,0,0,0,0,0,0,0,0,0,11.01,0,0,12.48,0,2.32,0,0,0,0,1.25,0
108-118,0,0,0,0.72,5.79,14.43,0,0,1.8,0,2.07,0,0.63,0,1.06,0,30.99,0,1.11,3.05,0,0,0,0,0,1.9,0,0
120,1.12,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,7.31,0,0,6.01,0,0,0,0,0,3.8,0,0
