stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.25,0,2.98,0,0,3.34,0,0,0,0,0,0,0,0,4.13,0,0,0,0,1.28,0,0,0.95,270.63,0,3.05,0,0,0,0,0,0,0,242.11,0,0,0,0,0
 24-34,0,7.14,1.26,2.99,0,0,30.51,0.72,0,0,1.33,0,0,0,0.6,2.38,0,0,1.3,0,3.82,0,0,3.61,1788.09,0,43.27,7.32,0,1.7,0,0,0,1.01,694.06,0,0,1.07,0,0
 36-46,0,1.88,0,0.92,0,0,121.06,0,0,0,11.14,0.82,0,0,0,0,0,0,0,0,5.68,0,0,1.28,4001.51,0,22.08,7.88,0,4.48,0,0,0,0,1005.56,0,0,0.75,0,0
 48-58,0,0.79,0,19.5,0.4,0,707.54,0,1.07,0.41,46.47,3.21,0,0,0,0.49,8.98,3.23,0,8.17,24.9,0,0,6.89,5659.19,5.79,34.97,11.88,0.39,20.3,0,0,0,0,1143.24,0,0,5.84,0,26.69
 60-70,0,1.49,0,16.81,0,0,2942.14,4.26,0,2.24,78.89,1.85,0,0,1.98,1.4,0,4.57,0.72,3.27,50.91,0.58,0,5.86,7280.6,4.5,15.02,27.83,0,8.68,0,0.62,0,0,1208.9,0,4.64,0,0,21.58
 72-82,0,5.93,0,34.42,22.39,0,4647.89,1.1,1,11.77,91.32,5.48,0,0,9.9,0,1.15,6.48,0,5.12,83.94,0,4.32,4.81,7160.04,1.09,22.53,45.77,0,8.05,0,0,1.5,0,735.9,0,1.26,5.66,2.34,13.42
 84-94,0,3.42,0,30.32,7.65,0,3374.69,1.26,0.6,10.5,121.82,4.2,0.77,0.78,2.03,1.11,0.67,2.24,2.4,0,71.94,0,0.71,4.3,4687.59,0.62,11.45,62.71,0,9.34,0,0.56,0,0,449.6,5.81,3.82,11.83,3.88,8.54
 96-106,0,3.61,0,17.65,10.49,0,3800.72,0,1.48,1.94,122.23,9.54,0,0,16.96,2.72,6.9,18.9,5.48,3.42,68.5,0,2.17,3.56,3917.45,0.79,29.42,68.77,0,44.73,2.06,0.69,0,0,200.93,2.95,1.31,9.51,3.08,31.75
108-118,0,2.86,0,29.51,5.58,0,3144.45,0,1.46,2.14,96.02,10.47,0,0,10.01,1.84,0,12.54,0,0,61.27,1.38,10.83,5.32,5037.64,0.46,21.47,59.45,0,5.04,0,1.48,0,0,207.39,7.94,0,2.56,0,4.23
120,0,5.46,0,50.76,4.47,1.6,2396.23,0,10.7,5.01,94.91,0,0,0,0,0,0,25.91,3.42,0,59.17,1.56,0,17.81,6316.56,5.4,21.53,63.74,0,22.85,0,0,0,0,214.66,0,1.32,4.44,0,0
