stage,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,mucous,neural,otic,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.06,0,0
 14-21,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.81,0,0,0,0,0,0,0,0,0,0,4.64,0
 36-46,0.58,0,0,0,0,0,0,0.95,0,3.12,0,0,5.49,0
 48-58,2.33,0,0,0,0,0,0,0,0,0,0,0,13.2,0.82
 60-70,4.32,0,3.17,0,0,0,0,0,0,3.19,3.17,0,11.52,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0
 84-94,1.02,0,0,0,0,0,0,0,0.93,0.92,0,0,14.06,0
 96-106,0,0,0.9,0,0,0,0.62,0,0,1.15,0,0,9.11,0
108-118,0.54,0.58,0.46,0,0.42,0,0,0,0,3.94,0,0,5.15,0
120,0,0,0,0,0,1.24,0,0,0,18.34,0,0,19.87,0
