stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,60.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.66,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,30.53,0,0,0,12.11,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.84,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.87,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,1.55,0,0,0,0,0,1.01,2.41,0,0,0,0,0
 24-34,0,1.41,3.26,1.13,0,0,0,0,0,0,0.74,0,0,0,0,1.33,0,0,1.3,47.76,0,8.3,0,0,0,0,26.87,0,0,1.82,0,0
 36-46,0,0,2.71,0,0.95,0,0,1.54,0.68,0,1.01,0,0,3.34,0,0.84,0,0,2.52,144.75,9.19,8.82,0,0,0,0,15.29,0,0,1.4,0,6.1
 48-58,0,0,0,0,39.93,0,0.62,1.71,1.93,0,1.62,0,0,0,0.83,15.59,0,0,4.41,300.91,0,1.47,0,0,2.46,0,20.37,0,0,0.43,0,0
 60-70,0,0,6.79,0.57,322.89,0,0,0.83,16.54,0,3.01,0,0,0,0,4.86,0.62,0.65,0.76,565.96,0,0,0.91,0,0,0,11.66,0,0,0,0,0
 72-82,0,0,4.11,0,425.09,0,0,0,6.28,1.49,0.52,0,0,0.79,0,11.36,0,5.8,1.34,753.66,0,0,0.65,0,0,0,19.37,0,0,0,0.57,0
 84-94,0,0,2.92,0,422.02,1,0,0.77,12.82,0,2.92,0,1.34,0,0,10.89,0,5.31,0,645.3,0,1.31,8.08,0,0,1.09,21.12,0,0.84,1.17,0,0
 96-106,0,0,5.32,1.04,312.82,0,0.86,1.8,38.07,1.38,0,0,0.61,0,0,13.23,0,2.61,0.62,612.47,0,0,0.62,0,4.89,0,14.33,0,0,0,0,0
108-118,0,0,3.84,1.39,358.52,0,0,0,19.52,0.54,0,0,0,0,0,16.73,0,1.21,1.08,569.1,0,2.73,1.23,0,0.45,0,5.44,0.42,0,0,1.05,0
120,0,0,19.44,0,462.95,0,0,0,9,1.09,0,2.07,0,2.98,0,30.36,0,0,0,706.92,0,0,0,0,2.54,0,29.15,0,0,0,0,0
