stage,erythrocytes,eye,immune,mesenchyme,neural,notochord,pericytes,vasculature,visceral.smooth.muscle
 14-21,1.41,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.47,0
 36-46,0,0,2.04,0,0,1.85,0,0,0
 48-58,0,2.32,0.94,0.38,0,0,0,1.31,0
 60-70,0,1.05,6.99,0,1.18,0,0,0,0
 72-82,0,0,2.12,0,0,0,2.75,1.7,0.76
 84-94,0,0.55,9.66,0,0,0,2.48,1.2,0
 96-106,0,0,9.15,0,1,0,0,1.83,0
108-118,0,0,9.51,0,0.49,0,0,0,0
120,0,0,17.71,0,0,0,0,0,0
