stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,76.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,45.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.46,0,0,0,0,0,0,0,0,0,0,0,6.75,0,0,0,0,0,0,0,0,0,54.32,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.4,10.12,0,0,31.56,0,0,0,5.63,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,30.84,5.37,0,1.9,0,0,0,4.53,1.46,0,0,0,0,0,0,0,10.18,0,2.95,120.06,12.87,0.98,1.74,1.67,0,4.82,12.6,1.74,6.6,47.49,0,0,2.68,0,0
 24-34,0,0,1.96,0,7.72,0.67,0,12.85,0,0.86,0,3.04,0,0,0,0,0.74,0,0,0,19.03,0,10.89,334.63,1.21,4.93,0.77,0,0,1.31,0.85,0,0.69,85.05,0,0,7.18,0,0
 36-46,0,0,0,0,4.21,0,0,77.13,0,0,0,16.9,0,0,0,0,0,0,0,0,45.88,1.54,11.16,1028.44,0,9.42,3.97,0,0,5.36,0,0.58,0,224.46,0,0,7.48,0,8.19
 48-58,0,0,0,0,3.9,0,0,120.14,0,5.07,0.55,27.54,0,0,0,0,0,0,0,0.79,38.48,0.4,4.98,963.92,0.75,4.41,3.16,0,0,6.5,0,0,0,186.33,0,0,5.87,0,0.54
 60-70,0,0,0.7,0,0.93,0,0,297.01,0,0,2.17,36.31,0,0,0.77,4.34,0,0,3.62,0,89.02,0,8.04,1061.14,6.46,6.78,1.52,0,0,6.3,0,1.35,0,174,0,0,1.17,0.64,11.25
 72-82,0,0,0,0,6.93,4.69,0,441.91,0,0,0.56,20.37,0.56,0,0.5,3.59,0,2.8,0.97,0,60.39,2.83,1.13,1133.43,0,4.51,3.52,0,1.05,2.9,0,0,0,86.46,0,1.39,6.35,0,3.54
 84-94,0.62,0,0,0,4.04,2.23,0,211.93,1.34,0.91,0.58,35.55,0,0,0,1.26,0.69,0.67,2.15,0,38.04,1.55,0.93,683.81,0,3.82,0,0,0,22.26,0,0.97,0,82.84,4.91,0.88,3.34,0,0
 96-106,0,0,0,0,13.33,18.91,3.52,193.14,0,0,0,30.05,0.92,0,0.76,0.79,3.41,0,0,0.75,30.09,0,5.14,637.16,0,4.74,5.92,0,0,5.18,0,0,0,27.65,0,0,3.88,5.97,2.39
108-118,0,0,0.41,0,7.75,0,0,197.26,0,0,1.36,22.75,2.27,0,0.69,0.68,0,2.68,1.71,0,20.9,3.49,3.6,895.49,0,3.22,0.44,0,4.58,4.21,0,0,0,38.5,0.54,1.18,0.99,0,1.56
120,0,0,2.52,0,7.74,3.22,0,101.17,0,1.03,3.83,33.15,2.12,0,0,8.6,0,3.92,0,0,67.24,11.79,9.75,1026.93,1.96,4.31,4.75,0,0,7.21,0,0,0,58.7,0,0,0,1.45,0
