stage,blastomeres,epidermis,eye,mesenchyme,muscle,neural,paraxial.mesoderm,pronephros,spinal.cord
  3-4,238.75,0,0,0,0,0,0,0,0
  5-6,84.09,0,0,0,0,0,10.04,0,0
  7-9,13.98,0,0,0,0,40.05,26.01,0,0
 10-12,0,0,25.83,0,0,26.9,32.81,10.82,3.28
 14-21,0,0.82,0,0,0,0.94,0,0,0
 24-34,0,0,0.71,0.72,0,5.17,0,0,0
 36-46,0,0,0,0,0,1.59,0,0,0
 48-58,0,0,0,0,2.99,0,0,0,0
 60-70,0,2.08,0.71,0,0,0.7,0,0,0.69
 72-82,0,0,2.78,1.66,0,2.44,0,0,0
 84-94,0,0,0.9,0.67,0,0,0,0,0
 96-106,0,0,0,0,0,1.96,0,0,0
108-118,0,0,0,0,0,2.11,0,0,0
120,0,0,0,0,0,4.75,0,0,0
