stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,36.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.34,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.88,0,0,0,26.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.56,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.75,0,0,0,92.85,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.76,54.24,2.37,3.73,0,2.01,0,0,1.86,3.66,0,0,0,0,0,1.13,12.98,0,0,12.53,28.03,2.55,0,0.94,10.19,0,1.31,9.18,0,2.46,58.24,0,0,2.19,0,0
 24-34,0,1.37,47.7,0,8.48,0.91,13.47,0,4.23,0.73,13.85,0,0,0,0,0,4.35,54.1,0,0,35.24,55.59,15.41,0,0,0,0,1.07,0,1.17,7.25,25.38,0,0,49.92,0,6.8
 36-46,0,0,48.76,0,13.75,0,14.01,1.26,8.94,0,5.26,1.03,0,0,0,0,5.79,119.45,0,6.65,21.66,68.79,1.48,0,1,0,0,0,0,0,0,10.2,0,0,72.28,0,12.03
 48-58,0,0,30.05,0,12.06,0,5.2,0.91,7.33,0.37,5.97,1.91,3.44,0,0,0,11.56,125.48,0.82,1.49,26.03,73.65,1.74,0.5,0,0,0,0,0,0,0,26.64,0,2.31,33.41,0,3.44
 60-70,0,0,26.55,15.48,8.43,0.79,1.4,2.31,10.36,4.53,2.62,0,0,0,1.57,0,1.24,185.96,0,4.85,11.2,24.53,6.22,0,0,0,0,0.69,0,0,0,10.29,0,3.32,60.2,0.59,7.04
 72-82,0,0,12.1,0,13.93,1.29,9.53,3.24,31.01,0.88,6.05,0.83,0.55,3.49,0,0,10.12,240.7,0,5.09,24.44,73.3,1.94,0,0,0,5.2,0,0,1.77,0,4.61,0.88,8.95,45.77,9.83,9.15
 84-94,0,0,27.04,3.31,23.78,0,1.2,0.69,11.16,7.2,1,4.95,0.68,0.61,0,5.89,11.99,151.29,0,13.02,13.02,30.07,0,0,8.42,0,4.44,0,0,0,0,4.23,0,8.99,70.05,8.42,3.84
 96-106,0,0,14.3,2.19,8.62,0,5.4,1.74,9.09,3.47,7.46,0,0,0.63,0,0,0.69,141.49,0,2.84,3.2,18.66,0,1.03,0,0,6.85,1.71,0,0,0,0,1.44,5.42,21.98,0.97,12.02
108-118,0,0,18.64,0.66,6.42,0,4.68,0,9.95,1.78,3.22,1.44,0.47,0.79,1.39,3.31,3.34,185.84,0,2.12,14.17,20.2,0,0,3.08,0,5.68,0,0,1.16,0,0,0,2.75,44.39,4.99,2.66
120,0,0,18.74,0,19.85,0,3.88,0,11.58,6.74,1.85,0,0,0,2.12,0,7.72,131.11,0,9.27,3.8,48.72,0,0,4.18,0,0,0,0,0,0,0,0,4.13,10.17,0,0
