stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste,vasculature
  3-4,94.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,59.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,7.7,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47,0,0,0,0,0,0
 14-21,0,0.87,0,0,0,0,0,0,0,0,0.93,0,0,19.24,0,0,0,0,0,0,2.11,7.26,0,0
 24-34,0,0.59,0,1.59,0,0,0,0,0,0,1.17,0,2.09,63.3,0,0.75,0,0,0,0,0,5.76,0,0
 36-46,0,0.69,0,0,0,0.62,9.59,0,0,0.61,2.98,0,0.77,79.69,0,5.67,0,0,6.19,0,0,13.7,0,0
 48-58,0,0,0,7.47,0,0.55,4.86,0,0,0,0.61,0,0,121.35,0,3.64,0,0,0,0,0,16.31,0,0
 60-70,0,0,0,21.77,0,0,0,0,0,0,10.5,0,0,245.47,0,1.83,0,0,0,0,0,5.68,0,0
 72-82,0,1.59,2.23,46.37,0,0,4.35,0,0,0,6.17,0,4.99,382.12,0,2.26,0,0,0,0,0,5.26,0,0
 84-94,0,0,0.69,67.28,0.63,0,4.01,0,0,0,0.8,0,0,252.78,0.68,19.53,0,0,0,0,0,0.85,0,0
 96-106,0,5.91,2.43,61.08,0,0,3.53,0,0,0,7.73,0.58,0.9,322.6,0,3.08,1.42,0,3.19,0,0,0,0,4.87
108-118,0,1.38,0,88.11,0,0,3,0,2.9,0,7.11,0.72,0,401.52,0,6.46,0,0,1.33,0,0,2.4,2.02,1.16
120,0,0,0,195.74,0,0,14.6,1,0,0,13.67,0,0,964.54,0,7.9,0,0,0,0,0,24.12,0,0
