stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.21,1024.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0
  5-6,14.73,765.61,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,61.08,0,0,0,17.17,28.14,0,0,0,0,0,0,0,0,0
  7-9,18.57,25.63,47.63,0,0,56.9,0,0,0,0,18.61,0,0,0,0,0,0,501.12,11.61,0,0,145.55,0,11.54,0,0,0,0,0,0,0,0
 10-12,0,46.91,12.73,0,0,60.36,0,0,0,0,7.38,0,0,0,0,0,0,350.14,0,0,0,97.45,4.33,9.4,0,10.26,5.78,0,0,0,0,0
 14-21,0,0,0,5.68,0.85,6.77,0,0,0.95,0,2.29,1.52,0,0,3.14,0,0,70.07,0,0,0.81,0,3.85,0,1.18,0,0.86,11.42,0,0,0,0
 24-34,0,0,0,4.72,0,9.59,1.86,0,0,0,0,0,0,0,9.97,0,0.72,146.19,1.09,0.97,0,0,0.81,0,0,0,0,16.47,0,1.71,0,0
 36-46,0,0,0,1.64,0,9.97,0,0,5.99,0,0,0,0,0,10.19,0,3.06,87.74,0,0.89,0,0,1.9,0,0,0,0,26,0,1.49,0,0
 48-58,0,0,0,4.15,0,40.41,0,0,6.89,0,0,0,0,0,5.95,0.94,0.46,231.05,0,0,2.13,0,0,0,0,0,0,24.39,0,0,0,0
 60-70,0,0,0,12.74,0,13.73,0,0,3.86,0,0,0,0,0.72,5.74,0,0,99.57,0,0,0,0,0,0,0,0,0,23.31,0,0,0,0.96
 72-82,0,0,0,3.6,0,13.58,0,0,0.76,0.63,0,0,0,0,5.71,0,0,79.46,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0
 84-94,0,0,0,0,0,22.87,0,0,2.04,0,0,0,0.79,0,7.9,0,0.7,53.82,0,0.71,0,0,0,0,0,0,0,4.85,1.07,1.25,0,0
 96-106,0,0,0,0.73,7.72,7.44,0,0,3.28,1.03,0,0,0,0,7.8,0,0,56.09,0,0.7,0,0,0,0,0,0.63,0,0,0,0,0.68,0
108-118,0,0,0,0,0,1.54,0,0.62,0.63,0,0,0,0,0,4.87,0.98,0,60.69,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0
120,0,0,0,0,0,8.57,0,0,3.25,2.99,0,0,0,0,2.67,0,0,25.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
