stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,49.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0
  5-6,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.45,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.51,0,0,0,0,12.55,0,0,0,4.28,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,24.43,0,0,0,0,0,0,2.7,0,6.1,6.34,1,0.98,0,0,0,1.66,1.03,2.01,2.1,0,0,0,0
 24-34,0,0,0.84,2.9,0,1.86,1.02,0.94,0,0.97,19.36,0,18.39,5.93,1.13,6.69,0,0,0,5.32,0,0.62,3.28,0,0,0,0
 36-46,0,0,0,2.08,1.04,0,7.65,1.21,0,0,43.18,0,12.93,7.43,0,5.35,1.91,0,0,6.57,0,0,0.72,0,0,0,0
 48-58,0,0,0,0,2.73,0,1.4,0,0,0.5,55.09,0,5.65,20.34,0,2.18,0.38,0,1.17,3.93,0,0,2.91,0,0.66,0,0.56
 60-70,0,0,0,0,9.26,0,1.99,0,0,0,73.04,5.05,10.61,2.59,0,2.09,0,0,0,4.78,0,0,3.64,1.96,0,0,0
 72-82,0,0,0,0,2.07,0,4.78,0.57,0,5.12,127.93,4.07,4.53,4.6,0,0.54,0.67,0,0.83,1.54,0,0,2.29,2.32,0,3.34,7.06
 84-94,0,0,0,1.64,1.21,0,7.52,0.82,0,1.13,142.4,11.21,12.07,12.94,0,2.78,0,0,0,7.66,0,0,0,12.57,0,7.91,0
 96-106,0,0,0,0,4.38,0.69,1.62,10.01,0,0,112.04,3.74,5.92,4.81,0,2.04,1.43,0,3.14,8.51,0,0,1.99,4.47,0,4.55,0
108-118,0,0,0.41,1.12,2.18,0,9.9,0,0,0,130.77,1.64,1.5,5.01,0,6.15,1.35,0,4.5,3.38,0,0,0.42,5.44,0,3.06,0
120,0,0,0,1.12,3.21,0,0,8.18,0,0,128.13,0,3.76,5.77,0,10.46,0,0,0,2.59,0,0,0,0,0,3.77,0
