stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04,0,0,0,6.83,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,26.96,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.71,12.42,0,0,0,0,0,0,0,0,10.45,0,0,0,0,6.73,0,3.74,0,0,4.88,45.79,0,0,0,0,0,0,0,0,6.2,10.89,26.25,0,0,0,0,0
 24-34,0,0,0.62,0,0,3.88,0,0,0,0,0.69,0,0,0,0,0,27.16,0.6,4.54,0.69,0,4.54,102.78,6.28,1.64,1.16,0,0,0,0,0,2.29,0,48.31,0,0,8.55,0,3.98
 36-46,0,0,2.41,0,0,6.86,0,0,1.9,1.14,1.39,0,0,0,0,0,5.51,0,10.57,0,1.42,3.85,165.26,14.16,0,0,0,0,0,0,0,0.58,0,58.19,0,0,0,0,0
 48-58,0,0,0,0,0,51.64,0,0,0.48,3.53,2.43,0,1.06,0,0.89,0,1.83,0,5.37,0.52,0,4.6,279.65,17.55,0,0,0,0,0,0,0,0,0,60.83,0,0,0,0,0
 60-70,0,0,0,0,0,98.48,0,0,0,13.39,0,0,0,0,0,0,4.29,0.93,21.51,0,0,3.25,340.11,9.38,0,0,0,0,0,0,0,2.94,0,45.41,0,0,0,0,0
 72-82,0.69,0,2.41,1.38,0,439.28,0,0,0.77,22.44,0.94,0,1.23,0,0,0,72.07,0,15.46,0.89,0,4.86,399.81,1.75,0,2.41,0,0,0,0,0,0,0,58.58,0,0,0,0,0
 84-94,0,0,3,1.89,0,372.21,1.96,0,0,20.89,1.02,0,0,2.16,0,0,171.61,0,12.1,0,0,4,215.35,7.59,0,0,0,0,1.12,0,0,0,0,11.07,2.89,0,3.73,1.52,0
 96-106,1.43,0,3.05,11.8,0,319.2,0,8.52,0,20.24,3.06,0,0,0.73,0,2.23,482.92,0,18.56,1.15,0,6,253.76,2.26,0,8.79,0,1.28,0,0,0,0,0,7.84,0,0,0,1.88,3.81
108-118,0,0,5.01,4.13,1.13,515.24,2.6,0,2.3,29.8,7.32,0,0,1.38,0.63,0,782.55,0.5,39.36,0,4.33,3.24,360.3,8.86,0.7,2.35,0,0,2.56,0.42,0.66,0.48,0,17.62,0,0,2.44,0,1.42
120,0,0,13.93,5.29,1.71,327.46,0,1.42,0,40.04,11.51,0,0,0,0,0,456.66,0,32.11,0,0,0,458.71,11.87,0,1.29,0,0,21.14,0,0,0,0,9.43,0,3.14,0,0,6.96
