stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.59,49.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.56,7.46,0,0,0,0,0,9.72,0,0,0,0,0,56.05,0,0,0,0,0,0,0,0,0,0,14.48,15.49,0,0,21.68,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,18.4,0,10.65,0,0,0,21.53,0,0,0,0,0,18.16,0,0,0,0,0,0,0,0,0,0,201.04,17.44,0,0,29.06,0,0,6.41,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.59,9.28,21.83,0,29.12,0,0,0,2.23,5.42,0,0,0,0,0,0,0,5.12,0,0,0,109.69,0,1.51,11.38,0,0,0,0,0.85,1.02,3.81,102.87,0,0,0,0,0
 24-34,0,0,0,0,6.92,23.9,0,132.06,0,0,0,4.12,0,0,0.69,0,0,0,0.99,0,15.41,0,0.82,10.76,576.38,0,5.49,10.46,0,1.98,5.58,0,0,0,2.08,350.12,0,0,6.48,0,0
 36-46,0,0,0,0.56,4.35,21.48,0,122.62,10.5,0,0,22.81,1.27,0,0,0,0,1.47,1.81,0.87,11.95,0.63,0,9.13,928.48,0.56,0,11.44,0,0,9.12,0.81,0,6.08,2.35,449.25,0,0,21.86,0,0
 48-58,0,0,0,0,9.59,35.58,0,372.72,12.93,1.34,0,90.18,1.02,0,0,1.77,0,7.35,2.99,0,41.88,2.93,0.98,2.75,1287.74,0,3.79,10.77,0,0.53,11.1,0,0,0,0,397.48,0,0,13.24,0,0
 60-70,0,0,0,0,1.76,41.84,0,960.67,10.66,0.62,0.76,164,0.95,0,0,7.47,0,0.63,4.11,2.6,48.74,1.92,0.7,1.39,1265.11,0,4.37,12.03,0,0,20.36,0,1.88,0,0,325.92,0.92,1.4,9.08,0,0
 72-82,0,0,0,0,13.23,177.21,0,992.62,14.14,1.78,4.31,164.01,7.74,0,1.52,2.89,0,1.64,5.35,0,65.4,2.76,0,3.84,1236.29,0,2.63,11.88,0,0.71,7.7,0,0,0,0,148.07,5.4,0.56,14.02,5.17,0.67
 84-94,0,0,4.93,0,17.15,184.81,0,912.46,5.17,0,0,129.29,17.43,0,0.82,0.62,0,1.86,7.64,0,70.71,2.26,2.31,7.75,943.02,0,0.67,20.53,0,0,29.13,0,0,0,0,93.31,2.12,0,11.03,2.23,0
 96-106,0,0,0,0,11.24,212.29,0.97,730.77,0.57,0,1.02,148.42,21.62,0,0,7.25,8.38,0,8.6,2.16,48.05,6.99,3.16,3.52,646.55,0,4.13,7.21,0,0,33.82,0,0,0,0,70.48,5.93,0,17.05,0.68,9.96
108-118,0,0,0,0,15.43,155.48,0,654.08,0,0,0,154.22,14.91,0,0,10.07,0,6.4,6.4,0.43,44.27,9.15,0,3.2,770.4,1.28,13.14,8.21,0,0,7.48,0,0.62,0,0,31.66,8.34,1.53,5.06,0,0
120,1.12,0,0,3.17,37.73,163.83,14.33,1047.51,1.26,3.2,0,464.4,37.35,0,0,10.06,0,6.33,44.49,0,51.03,2.78,0,3.82,1227.42,0,3.02,22.73,0,0,12.01,0,2.89,0,0,70.21,4.94,0,3.29,0,0
