stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,68.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.83,124.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.63,0,0,0,0,0,15.25,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,20.13,0,0,0,21.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.61,0,0,0,7.64,0,0,0,0,0,12.69,0,0,0,0,0,0,0,0,0,0,186.58,0,0,0,51.85,0,5.41,0,15.95,0,0,0,0,0,0
 14-21,0,0,2.33,2.17,6.22,2.94,0,11.61,0,0,0,0,1.13,0,0,0,0,0,0,0,0,1.37,0,1.97,50.92,0,0,0,0,0,0,1.81,0,6.51,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,57.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.04,0,0.69,0.82,0,0,0,0,0,17.12,0,0,0,0,3
 36-46,0,0,0,0,0,0,0,100.16,0,0,0,19.31,0,0,0,0,0,0,0,0,0,0.63,0,0,142.26,0,1.48,1.36,0,0,0,0,0,37.68,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,671.87,0,0,0,102.33,0,0,0,0,0,0,0,0,0,5.02,0,0.51,269.01,0,1.25,8.24,0,0,0,0,0,81.24,0,0,7.88,0,0
 60-70,0,0,0,0,7.04,0,0,5334.61,0,1.03,0,353.19,0,0,0.9,0,0,0,0,0,0,11.44,5.67,0,314.78,0,1.15,2.35,0,0,1.64,0,1.35,92.89,0,5.21,7.26,0,0
 72-82,0,0,0,0,20.98,1.78,0,5463.59,0,0,1.68,413.28,1.79,0,0,0,0.93,0.57,1.62,0,8,33.52,0,2.41,256.51,0,4.37,34.9,0,0,4.92,1.65,0.64,55.1,0,0.52,1.67,1.09,13.09
 84-94,0,0,0,0,18.86,0,0,4475.88,0,2.47,0.91,285.08,1.16,0,0,1.69,0,0.9,5.28,0,0,20.95,6.82,5.22,178.26,1.87,0,19.84,0,0,4.2,0,0,73.17,0,6.91,1.39,0,0
 96-106,0,0,0,0,10.06,0,1.05,3392.14,3,0,0,332.74,0.72,0,0.58,4.62,0,1.33,23.26,1.03,0,17.55,0.59,2.32,151.63,0,0,17,0,0,1.56,0,1.06,24.04,1.21,2.45,8.35,0.68,8
108-118,0,0,0.62,0,9.73,8.67,0,2574.92,0,0,0,384.65,3.33,0,0,0,0,0,8.08,0.97,4.49,31.91,0,1.01,132.64,3.27,0,26.84,0,1.95,2.84,0,0,20.1,0,0,1.51,0.97,0
120,0,0,0,0,40.08,6.48,0,1855.85,2.29,8.59,1.56,654.32,0,0,0,0,0,0,8.6,0,0,62.54,0,3.87,211.31,0,0,3.53,0,0,0,0,0,13.16,0,0,0,0,8.94
