stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,951.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0
  5-6,26.51,379.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.36,0,0,0,8.56,0,0,9.95,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.35,0,0,0,0,0,0,0,0,0,2.54,8.22,0,0,0,0,0
 24-34,0,0,0,0,1.28,0,3.04,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,1.8,654.18,0,18.19,0,0,0,0,0,0,0,0,80.25,0,0,2.92,0,0
 36-46,0,0,0,0,0.64,0,6.74,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0.75,1605.55,0,13.77,0,0,0,0,0,0,0,0.6,161.18,0,0,1.78,0,0
 48-58,0,0,0,0,14.88,0,73.29,0,1.13,0.51,9.8,0,0.7,0,0,0,0,0,3.73,20.19,0,6.25,8.89,2645.64,0,11.55,0.39,0,0,2.46,0,0,0,0,134.45,0,0,0.62,0,6.17
 60-70,0,0,0,0,0.68,0.7,152.94,0,2.4,0.83,14.64,1.02,0,0,0,0,0,0,0,35.62,0,3.46,0.97,4491.51,0,18.82,0,0,0,4.63,0,0,0,0,302.11,0,0,11.23,0,10.34
 72-82,0,0,2.76,0,7.29,10.97,266.49,0,7.61,1.86,25.62,0.7,0,1.67,0,2.56,1.52,13.85,6.03,56.84,0,1.17,2.28,5098.51,0,9.92,0.75,0,0,5.54,0,0,3.93,0,276.98,0,0,21.52,0.99,25.63
 84-94,0,0,3.73,0,12.17,6.89,245.62,0.64,0,1.43,18.79,1.33,0,2.02,0,3.01,0.69,4.47,0,6.96,0,0,0,3027.53,0.58,8.73,0,0,0,7.87,0,0,0,0,193.78,0.9,2.61,21.69,0.62,2.04
 96-106,0,0,0,0,12.14,14.05,142.29,0,8.82,2.67,42.6,2.11,0,5.02,0.8,4.37,0,20.14,0,32.22,0,2.91,1.18,2483.63,0,10.36,0,0,0,0.92,0,0,0,0,66.35,2.26,2.88,37.58,0.98,8.74
108-118,0,0,2.49,0,13.62,0.66,158.05,0,0,0,23.27,1.01,0,1.86,1.58,1.17,0,0,0,25.92,0,0,4.59,3164.57,0,9.84,0,0,0,2.04,0,0.94,0.51,0,80.28,3.72,1.81,35.73,2.09,0
120,0,0,7.89,0,18.71,0,386.78,0,4.64,0,39.13,0,0,0,0,0,0,1.05,0,29.4,1.49,2.4,1.8,6348.33,0,10.83,0,0,1.79,1.1,0,0,13.04,0,165.54,0,0,54.25,0,0
