stage,blastomeres,epidermis,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,somites,spinal.cord
  5-6,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,94.59,0,0,0,0,0,0,4.2,0,0,0
 10-12,0,0,0,87.04,0,0,0,0,0,6.53,0,0,0,0
 14-21,0,0,0,2.41,1.15,0.96,0,0,0,0,0,0,1.32,0
 24-34,0,1.49,0,0,0,0,0,15.4,0,5.62,0,0,0,0
 36-46,0,0,0,0,0,0.95,0,6.18,0,0,0,0,0,0
 48-58,0,0,0,0,0.4,8.18,0.38,9.85,0,1.58,0,0,0,0.79
 60-70,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
 72-82,0,0,2.67,0,4.06,0,0,5.12,1.03,0,0,1.54,0,0
 84-94,0,0,9.23,0,0,0,1.27,11.53,0,0,0,0,0,0
 96-106,0,0,14.21,0,3.23,0,0,15.77,0,0,0,0,0,0
108-118,0,0,9.16,0,3.82,0.64,0,5.14,0.42,3.59,0,0,0,0
120,0,0,0,0,1.87,0,0,4.99,0,0,0,0,0,0
