stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.29,535.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.16,0,0,0,0,0,0,0,0,0
  5-6,45.56,681.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.98,11.17,0,0,9.77,0,25.66,0,0,0,0,0,0,0,0,0
  7-9,12.43,38.58,40.11,0,0,9.9,0,0,0,22.85,0,0,0,0,0,0,0,0,0,0,0,568.96,0,0,0,101.29,0,9.64,0,0,0,0,0,0,0,0,0
 10-12,0,12.13,23.07,0,6.14,23.63,0,0,0,6.84,0,0,0,0,0,0,0,0,0,0,0,411.19,4.73,0,0,114.42,0,0,12.28,0,10.06,0,0,0,0,0,0
 14-21,0,0,0,11.35,1.87,1.76,0,0.92,2.4,0,0,0,0,0,0,0,0,3.71,0,0,3.96,45.93,0.85,0,1.02,0.91,0,3.31,0,9.95,0,6.24,10.27,0,0,0,0
 24-34,0,0,0,1.75,0,7.12,0,1.46,0,0,0,0,1.12,2.57,0,0,0,9.14,0,0,1.38,107.35,0,0.95,0,0,0,12.18,0,0,0,3.93,20.8,0,13.49,0,0
 36-46,0,0,0,11.39,0,11.71,0,8.15,0,0,0,0,0,0,0,0,0,9.1,0,0,1.47,59.64,0,0,0,0,0,3.01,0,0,0,0,19.59,0,3.12,0,6.14
 48-58,0,0,0,0,0,38.9,0,9.29,0,0,0,0,0.48,0,0,0,0,8.27,0.95,0.41,1.06,59.88,0,0,0.4,0,0,4.55,0,0,0,0,13.63,0,0,0,0
 60-70,0,0,0,0,0,36.15,1.2,10.77,0.62,0,0.79,3.88,0,0,0,0,0,14.56,0,1.04,1.85,59.32,0,0,5.34,0,0,4.21,0,0,0,0,1.81,0,2.56,0,0
 72-82,0,0,0,0,2.03,5.51,0,6.41,0,0,0,0,0.93,0,0.72,0,0,21.54,0,0,3.36,41.49,0,0.88,0,0,0,0.7,0,0,0,0,7.1,0,2.5,0,0
 84-94,0,0,0,0.63,0,10.62,0,1.33,0,0,0,0,0,0.66,0.78,0,0,10.9,0,0,0,4.67,0,1.04,0,0,0.6,0.72,0,0,0,0,0,2.12,3.15,0,0
 96-106,0,0,0,0,0,11.28,1,4.83,0,0,0,0,0,0,0,1.06,0,9.72,0.77,0,1.95,6.62,0,0,1.99,0,0,0.75,0,0,0,0,0,0,1.03,0,0
108-118,0,0,0,1.95,0.53,5.79,0.59,7.86,0.68,0,0,2.2,0.62,0,0,0,0,19.73,0,0,0.69,10.6,0,1.82,0,0,0,0.86,0,0,0,0,0,1.31,3.66,0,0
120,0,0,0,0,0,17.75,0,0,0,0,0,0,0,0,0,0,1.6,34.4,0,0,0,19.85,2.45,0,0,0,0,0,0,0,0,0,0,5.29,0,6.37,0
