stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696.51,0,0,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,79.49,1.39,0,20.68,0,0,0,10.13,0,1.46,0,0,0,0,0,0,0,0,0,1.12,4202.04,8.95,1.4,38.68,1.12,0,5.73,0,3.29,0,0,2.21,2930.77,0,0,0,0,0
 24-34,0,0,21.23,4.31,0,309.91,0,0,0.76,8.35,0,1.24,0,2.95,0,0,18.05,0,24.59,0,0,22.75,18645.04,1.58,11.4,10.46,0,0,8.23,0,0,0.94,7.63,1.6,4227.22,0,0,1.69,0,0
 36-46,0,0,23.32,0,0,6211.93,2.94,5.35,0.78,69.34,0,1.45,6.54,0.74,0,0,0,3.82,40.35,0,0,9.62,32429.77,4.57,12,6.28,0,8.6,26.62,0,1.82,0,0.7,0,7234.06,0,1.23,14,0,27.01
 48-58,0,0.55,67.59,2.96,0,13545.49,5.64,9.36,3.53,332.03,0,6.28,3.5,0,24.33,5.37,2.43,20.73,109.67,0,16.74,26.6,25951.5,1.44,15.18,3.33,0,2.24,27.87,0,0,0.54,11.73,0,7211.14,0,0.64,12.99,0.9,36.34
 60-70,0,0.65,34.62,4.32,0,22574.93,14.17,6.9,11.45,178.29,0.62,0,15.09,0,3.02,1.91,1.51,0,92.71,0,2.73,10.37,14797.3,0,4.64,5.99,0,1.9,17.1,0,0,7.8,0,0,3698.64,0,2.16,3.14,0,0
 72-82,0,2.61,67.66,2.41,0,14643.89,3.63,4.3,13.05,169.34,4.51,9.52,9.44,2.11,3.93,5.92,1.4,1.28,127.52,2.11,13.89,14.88,10646.36,0,1.18,17.13,0,4.78,6.53,0,0,5.01,5.45,0,1731.9,4.19,2.31,13.25,4.04,39.2
 84-94,0,1.62,106.07,3.33,0,9877.67,1.47,14.39,16.16,290.9,4.84,3.94,6.92,0,16.02,0,0,6.35,125,0.86,24.69,5.78,7529.36,2.22,4.8,11.04,0,0.96,18.22,0,0,1.6,1.75,0,1443.29,3.53,8.2,10.41,11.86,44.27
 96-106,0,1.07,112.53,17.11,0,7254.16,3.49,3.06,1.4,214.39,7,16.01,8.69,1.85,0,3.77,0.7,0,114.57,0.6,3.64,9.38,5784.92,0.64,3.99,25.48,0,0,20.39,3.82,0,1.3,0.68,0,434.83,1.63,7.41,0,6.53,22.86
108-118,0,0,96.66,6.02,3.6,7600.55,1.33,0.88,0.75,158.61,3.46,1.37,9.25,2.74,0.54,0.81,2.03,0.59,80.14,5.43,13.95,3.68,8179.1,0,4.27,12.57,0,2.89,11.17,0,0,0.81,0,0,386.35,3.85,0.41,5.92,3.58,0
120,0,0,61.53,5.19,0,4675.91,0,2.28,2.81,275.69,2.91,0,0,0,0,0,5.29,0,82.99,1.65,0,14.53,6739.49,0,15.42,9.46,0,0,11.28,0,0,6.3,0,0,119.46,0,0,3.98,0,0
