stage,epidermis,eye,fin.mesenchyme,glial,mesenchyme,neural,periderm,slow.muscle,spinal.cord
 14-21,0.85,0,0,0,0,1.51,0,0,0
 24-34,0,0,0,0,0.72,1.62,0,0,0
 36-46,0,0,0,0,0,1.12,0.58,0,0
 60-70,0,0,0,0,1.06,1.08,0,0,0
 72-82,0,0.9,0,0.61,2.37,4.66,0,1.81,1.71
 84-94,0,0,0,0,0,0.68,0,0,0
 96-106,0,4.96,0.81,0,0,0,0,0,0
108-118,0,0,0,0,3.96,0,0,0,0
