stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,125.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,0,0,0,0,0,51.44,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.87,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,29.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,41.67,0,0,0,15.08,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,3051.52,0,0,0,70.65,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.9,7692.48,0,0,0.96,1.64,0,2.05,0,3.8,0,0,58.29,0,0,15.42,0,12.37,23.37,0,10.32,35.86,0,0,1.53,0,0,15.25,4.84,3.11,0,0,7.19,0,0,0.85,0,0
 24-34,0,0,0,2293.71,0,0,7.53,18.75,0,0,0,0,5.07,0,0,0,0,3.91,0,1.51,18.97,0,8.92,82.88,0.83,2.8,1.29,0,0,6.14,0,0,4.43,1.49,18.17,0,0,0,0,1.3
 36-46,0,0,0,789.14,0,0,5.69,17.09,0,0,0,0,0,2.6,1.79,0,0,0,1.49,4.03,5.94,0,1.15,44.61,0,0.84,0,0,0,2.57,0,0,0,0,6.18,0,0,0,0,4.56
 48-58,0,0,0,434.37,0,0,15.21,21.19,1.28,1.18,0,0,0,0,0.38,0,0,0,0,2.1,3.87,0,0,25.8,0,0.85,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0
 60-70,0,0,0,415.61,0,0,10.45,76.01,0,1.08,0.77,0,0,6.44,0,0,0,0,0,4.3,4.92,0.85,0,18.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,6.52
 72-82,0,0,0,531.9,0,0,14.12,34.65,1.03,3.34,0,0,0,0,0,0,0,0,0,6.62,6.33,0,0,19.42,0,0,0,0,0,0,0,0,0,0,5.11,1.99,0,0,1.27,0
 84-94,0,0,0,1728.83,4.4,0,30.09,164.35,0,12.14,0.87,0,0,0,1.42,0,0.61,0,0,20.84,20.66,0,0,30.13,0,0,0,0,0,18.72,0,0,0,0,7.47,1.42,1.08,0,1.93,0
 96-106,0,2.16,0,4485.17,53.85,0,43.62,454.86,0.74,32.09,13.63,0,3.87,3.22,6.65,0,0.66,9.15,0,41.63,48.55,0.75,1.56,174.47,6,20.45,0.59,0,1.77,13.23,0,1.01,0,0,10.75,20.37,1.82,4.16,0.85,2.2
108-118,0,0,0,7264.7,3.94,11.91,54.08,1046.93,2.26,31.9,41.93,0,1.1,2.41,15.27,1.53,1.87,3.37,0,50,41.41,0,1.78,114.23,0.59,6.09,1.07,0,2.78,13.29,0,1.86,0,0,1.97,24.82,3.83,5.77,2.35,1.52
120,0,0,0,5594.39,1.34,1.91,103.57,882.57,14.6,26.91,9.53,0,0,7.08,3.38,3.12,2.39,1.23,0,35.94,61.53,0,2.36,218.38,0,5.01,5.47,0,0,2.09,0,0,0,0,10.6,22.48,8.19,0,0,0
