stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.73,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.08,0,0.84,0,0.87,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0.81,3.69,0,0,0,0,0
 24-34,0,0.67,1.97,0,0,7.52,8.76,0.92,0,0,0.69,0,0,0.6,0,0,0,0,2.6,0,0,0,22.03,0,0,0,0,1.72,2.81,1.64,0.98,13,0,0,6.11,0,2.64
 36-46,0,0,0,0,0,14.03,3.45,0,0,2.05,0,0,0,0,0,0,0,0,9.59,0,0,2.41,28.65,0,0,1.31,0,14.46,1.34,7.02,0,6.84,0,0,1.23,0,1.73
 48-58,0,0,2.91,0,0,19.73,3.3,0,0.89,4.63,0,0,0,0.37,0,0.98,0,2.23,18.86,0,0,0.4,69.23,0,0,0.4,0,9.05,0.99,2.38,0,26.84,0,0,1.43,0,1.58
 60-70,0.82,0,2.12,0,0,27.25,0,2.35,0,7.29,2.75,0,0,1.37,1.14,0,0,1.05,28.76,0,0,3.94,78,0,0,4.04,0,6.69,1.88,4.97,0,11.45,0,0.63,0.6,0,6.76
 72-82,0,0,4.03,6.13,0,69.24,0.53,0,3.05,13,1.37,0,0,2.2,0.59,1.3,0.88,0,29.52,0,3.96,4.7,67.4,2.93,0,4.22,0,17.79,1.8,0,0,5.96,0,0.81,3.46,1.28,5.04
 84-94,0.66,0,15.36,4.31,0,78.27,1.15,1.25,0,11.2,0.96,0,3.61,1.69,1.65,0,1.37,0,19.68,0,0.58,2.58,58.35,0,0,2.75,0,40.78,8.45,3.37,0,13.6,3.88,1.18,4.86,0.78,0
 96-106,0,0,5.26,7.75,0,85.66,0,0.82,0,19.7,9.09,4.11,4.32,4.08,1,0,2.19,1.06,14.13,2.73,1.52,0.65,82.47,0,0.59,2.72,0,21,0.63,1.93,0,7.86,1.68,0,11.84,0,8.09
108-118,0.41,0,4.91,0.69,0.55,50.32,0.57,0.78,2.78,6.96,3.31,0.83,1.83,0.51,2.36,3.67,4.46,9.03,21.1,0,1.01,2.08,65.16,0.43,1.06,8.24,0,8.9,4.41,1.51,0,8.65,0.52,0,6.34,0,2.33
120,0,0,7.89,5.84,0,34.85,1.26,0,0,37.42,3.84,1.61,4,5.59,5.86,1.76,0,0,12.17,0,0,0,98.11,0,0,1.25,0,25.61,1.79,0,0,15.17,0,0,2.71,0,0
