stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,161.76,3649.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.19,0,0,0,0,0,0,0,0,0,0,0
  5-6,331.12,4217.2,0,0,0,0,0,0,0,0,34.8,0,0,0,0,0,0,0,0,0,0,86.93,0,0,0,67.34,68.94,0,0,0,0,0,0,0,0,0,0,0
  7-9,100.53,192.14,184.03,0,0,295.96,0,0,0,0,126.2,0,0,0,0,0,0,0,0,0,0,3519.15,106.39,0,0,1183.49,11.45,15.45,0,13.28,0,0,0,0,0,0,0,0
 10-12,0,71.84,200.5,0,5.46,202.32,0,0,0,0,34.91,0,0,0,0,0,0,0,0,0,0,2387.51,19.64,0,0,882.21,4.05,0,10.7,47.32,0,22.74,0,0,0,0,0,0
 14-21,0,0,1.84,17,2.05,19.73,0,0,3.62,1.21,0,0,0,1.88,0,0,0,0,20.65,0,17.51,177.88,3.38,2.42,4.12,4.26,3.14,0,13.11,1.44,2.72,6.87,87.09,0,0,0,0,0
 24-34,0,0,1.48,7.93,0,46.36,0,0,10.24,0,0,1.86,1.04,0,0,0.72,0,0,39.67,0,25.09,409.7,9.85,0.96,0.62,0,19.26,0,0,0,0,1.93,75.76,0,0,9.33,0,0
 36-46,0,0,0,12.22,0,94.91,0,0,5.91,0,0,0,0,0,0,0,0,0,46.28,0,5.85,292.45,0.72,3.06,0,0,11.01,0,0,0,0,0,49.56,0,0,0,0,3.92
 48-58,0,0,0,3.65,0,133.8,0,0,9.72,0.84,0,0,0,0.66,0,0.74,0.39,0,35.3,1.31,4.17,170.49,0,0,0.66,0,3.85,0,0,0,0,0,24.64,0,0,0.87,0,2.03
 60-70,0,0,0,0,0,95.13,0.68,0,25.73,0,0,1.08,12.99,0,0,0,0,0,22.84,1.58,0.6,61.71,0.83,1.42,0,0,0,0,0,0,0,0,8.33,0,0,1.59,0,8.04
 72-82,0,0,0,2.44,0,40.83,0,0,21.8,0,0,0,0,0,0,0,0,0,28.94,1.13,3.18,69.61,0,2.45,3.06,0,0.59,0,0,0,0,0,8.7,0,2.22,0.64,0,1.17
 84-94,0,0,0,5.59,0.58,28.09,0,0,0,0.96,0,0,1.6,2.66,0,0,1.17,1.76,21.03,1.48,3.61,39.33,0,0,0,0,4.3,0,0,0,0,0,7.35,9.48,6.06,5.06,0,0
 96-106,0,0,0,1.63,0,35.81,0,2.05,4.66,3.93,0,0.97,0,4.89,0,0,0,0,17.5,1.41,4.26,42.17,4.18,0.87,0.74,0,2.89,0,0,0,0,0,2.47,12.76,3.41,6.86,2.11,0
108-118,0,0,0,2,0.93,32.2,0.76,0.6,10.42,0,0,0,0.84,3.65,0.44,0,0.5,0,18.33,1.63,2.8,71.17,0,1.32,4.01,0,3.99,0,0,0,0,0,3.58,14.76,4.35,3.38,0,0
120,0,0,0,13.38,0,21.35,0,0,8.34,0,0,0,3.82,9.54,0,0,0,0,14.87,0,6.42,69.66,2.45,2.92,7.59,0,3.27,0,0,0,0,0,14.6,12.42,8.08,0,4.69,0
