stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,neural,olfactory,periderm,spinal_cord,xanthophores
  3-4,0,24.28,0,0,0,0,0,0,0,0,0
  5-6,6.8,0,0,0,0,0,0,0,8.08,0,0
 10-12,0,0,0,0,0,0,6.8,0,0,0,0
 14-21,0,0,0,0,0,0,1.61,0,0,2.68,0
 24-34,0,0,0,0,0,0,24.65,0,0,8.57,0
 36-46,0,0,0,0,1.08,0,34.45,0,0,24.62,0
 48-58,0,0,0,0.84,0.58,0,44.58,0,0,19.44,0
 60-70,0,0,0,9.44,8.19,0.64,79.93,0.96,0,29.27,2.59
 72-82,0,0,0,10.25,1.21,0,93.9,3.13,0,30.04,0
 84-94,0,0,0,8.57,0.74,1.01,53.76,0.89,0,7.48,0
 96-106,0,0,0,2.97,0,0.61,66.12,1.71,0,4.01,0
108-118,0,0,0.85,9.06,0.45,1.46,64.6,0,0,15.44,0
120,0,0,0,0,0,3.28,110.48,5,0,0,0
