stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,207.49,2508.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.99,0,0,0,0,0,0,0,0
  5-6,181.7,2351.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,55.05,0,0,15.53,76.25,0,0,0,0,0,0,0,0
  7-9,18.16,47.97,0,19.29,0,0,154.42,0,0,0,0,77.65,0,0,0,0,0,0,0,0,0,716.46,10.88,0,0,225.19,0,24.11,0,0,0,0,0,0,0
 10-12,0,0,0,22.28,0,0,45.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.37,6.58,0,0,70.33,10.55,0,4.78,0,0,0,0,0,0
 14-21,0,0,0,0,2.02,0.9,0,0,0,1.71,0,2.15,0,0,0,1.59,0,1.06,0,0,0.85,22.82,0,0,0.88,0,0,0,0,1.18,2.95,0,2.24,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,12.8,0,0,0,0,8.1,0,0,0,1.09,0,2.46,0,0
 36-46,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,0,0,2.17,0,0,0,0
 48-58,0,0,0,0,2.72,0,0,0.45,0,4.27,0,0.57,0,0,0,0,0,1.01,0,0,0,0.72,0,0,0,0,6.93,0,0,0,0,0,8.84,0,0
 60-70,0,0,0,0,3.21,0,0,0,1.03,4.23,0,0.59,0,1.6,0,0,0,0,1.1,0,0,9.88,0,0,0,0,8.39,0,0,0,0,0,0.68,0,0
 72-82,0,0,0,0,2.14,0,2.26,1.55,0,1.16,0,0,0.51,1.42,0,0,0.49,3.07,0.83,0,0,12.54,0,0,0,0,12.56,0,0,0,0,0,0,3.41,9.24
 84-94,0,0,0,0,1.2,0,0,2.45,0,0.55,0,0,0,0,1.52,0,0,1.3,0,0,0,2.54,0,9.71,0,0,31.96,0,0,0,4.15,0,0,0,0
 96-106,0,0,1.37,0,0.57,0,1.18,0,0,0,2.08,0,0,5.6,0.73,0,0,1.51,3.74,0.58,0,7.63,0,1.65,0,0,21.96,0,0,0,2.16,0,2.03,0,4.69
108-118,0,0,0.8,0,3.39,0.42,0,0,0,6.5,4.21,0,0,2.06,0.76,0,0,5.34,4.07,0,0,2.98,0,0,1.79,0,15.7,0,1.03,0,1.94,0.44,0,0,1.33
120,0,0,0,0,5.23,9.88,0,0,0,1.08,3.45,0,0,3.47,8.18,0,1.79,0,2.91,0,0,6.4,0,0,0,0,23.97,0,0,0,0,0,0,0,0
