stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,49.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.23,0,0,0,200.76,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,6.05,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.23,0,0,7.14,0,0,0,777.49,0,0,0,0,0,0,0,0,0,0,56.3,0,0,0,9.68,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.9,0,0,0,0,0,17.13,0,0,0,0,47.23,0,0,0,0,0,317.71,0,0,0,0,0,1.81,0,1.3,171.8,0,0,0,0
 24-34,0,0,0,9.88,0,21.09,0,1.02,0,0,0,0,0,0,118.54,0,12.96,0,0,6.43,966.02,1.38,4.32,0,0,15.18,0,4.12,0.62,1486.26,0,2.88,0,0
 36-46,0,0,0,7.65,0,46.44,0,12.93,0,0,0.6,0,4.15,1.83,13.29,0,32.04,0,0,2.99,1252.85,0,8.02,0,5.14,10.04,0,0,0,4686.79,0,7.26,0,0
 48-58,0,0,0,14.24,0,147.18,3.31,42.75,0.92,0,0.37,0,0,0,10.22,0.39,26.41,2.24,0,3.47,1047.6,0.37,3.26,0,0,8.11,0,0,0,3934.58,0,10.26,0,16.89
 60-70,0,0,0,8.57,0.57,65.62,1.18,31.26,0,0,5.7,0.67,0,0,7.87,0,35.68,2.63,1.33,2.4,1083.07,0,3.45,0,0,2.59,0,0,0,2586.59,0,2.78,0,10.27
 72-82,0,0.81,0,4.56,1.46,95.45,4.02,21.45,0,0,0,0,0,0,0,0,26.04,0,1.13,4.14,790.33,0,2.57,2,0,8.04,0,0.6,0,1246.88,0,7.1,1.26,6.57
 84-94,0,0,0,3.27,2.47,97.45,0,33.41,0,0,8.26,0,0,0,0,4.83,31.36,0,0,2.03,473.67,0,1.55,0.62,0,5.25,0,0,0,755.89,4.45,2.16,3.43,0
 96-106,0,0,0,3.43,19.08,48.55,0,39.83,0,0,0.57,0,0,0,0,0,30.3,0,0,0,449.02,0,1.08,1.38,0,3.49,0,0.56,0,498.87,0,1.77,2.41,0
108-118,0,0,0,13.73,2.81,25.21,0,76.68,0.86,0,0.51,3.24,14.42,0,0,0,20.92,0,0,12.98,408.11,0,1.3,0,0,3.86,0,0,0,287.04,1.3,3.67,0.94,0
120,0,0,0,3.94,0,69.37,0,242.12,0,0,4.99,0,0,0,0,0,18.02,0,0,0,777.13,0,0,0,0,21.69,0,0,0,495.78,0,0,0,0
