stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,11.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,29.65,0,0,0,0,3.22,0,0,0,0,0,0,0,73.23,0,0,25.36,0,0,0,0,0,0,0
 10-12,0,0,0,0,13.57,0,0,0,0,0,0,0,0,0,0,0,0,136.91,0,0,71.63,7.72,0,0,0,0,0,0
 14-21,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,3.17,0,0.95,23.62,0,0,0,0,3.23,2,2.76,0,0.96,0
 24-34,0,0,0.72,0,0.68,0.85,0.61,0,0,0,0,0.75,0,0,1.95,0,0.59,10.52,1.71,0,0,0.67,0,1.52,3.92,0,0,0
 36-46,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,1.69,0,7.83,11.4,0,0,0,0,0,1.66,0.73,0,0,0
 48-58,0,0,5.9,0,1.36,0,0,0,0,0,0,0,4,0.39,2.04,0,1.79,3.68,0,0,0,1.18,0,0,0.71,0,0,0
 60-70,0,0,3.5,0,8.24,0,0,4.63,0,0,0,0,0,0,6.42,0,0,0,0,0,0,5.95,0,0,0,0.59,0,0
 72-82,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,7.3,0,0,0.62,0,0,0,0.93,0,0,0,0,0,0
 84-94,0,0,0.56,0,0.56,0,1.03,0.95,0,0,0.72,0,0,0,7.85,2.39,2.33,2.54,0,0,0,9.49,0,0,0,0,0,0
 96-106,0,1.37,1.06,0.7,5.91,0,1.42,1.54,2.56,0,0,0,0,0,11.69,2.28,0,0,0,0,0,0,0,0,0,0,0,0.91
108-118,0,0,0,0,0,0.43,0,1.27,0,0,0.43,0,0.78,0,9.04,0,1.4,2,0,0.83,0,2.79,0,0,4.19,0,0.65,0
120,0,0,2.37,0,3.1,0,0,9.72,0,0,0,0,0,0,25.64,0,0,7.69,0,12,0,4.24,0,0,6.92,0,0,0
