stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.09,14.22,0,0,10.98,0,0,0,0,4.31,0,0,0,0,0,0,0,3.61,0,0,0,30.41,3.32,0,0,0,2.16,0,0.94,0,1.9,14.24,0,0,0,0,0
 24-34,0,1.12,6.61,0,0,5.21,0,0,0,0,0,0.76,0,0.89,0,0,0,0,6.13,0.95,0,0,203.1,7.37,7.44,4.35,0,15.66,0,0,0,1.24,87.44,0,0,0,0,0
 36-46,0,0,7.86,0,0,7.83,0,1.47,0,1.98,1.12,0,0,0,0,0,0,8.11,8.56,0,0,0,624.41,9.21,8.67,6.43,0,55.16,0,0,0,0,128.67,0,0,2.07,0,1.4
 48-58,0,0,13.43,0,0,74.99,1.02,0,0.54,6.35,1.41,0.38,7.11,0,2.03,2.06,0,0.79,7.06,0,0,10.4,1539.8,28.36,3.6,0.57,0,22.09,0,0,2.28,0,150.07,0,0,0.81,0,6.05
 60-70,0.62,0,14.18,0,0,177.16,0,5.29,0,19.45,0,0,5.21,0,3.17,0,0,9.95,15.2,0,0,4.14,2656.35,10.83,2.34,0.85,0,10.94,0,0,3.16,0,198.83,0,0,7.14,0.89,0
 72-82,3.72,0,24.53,0.64,0,243.04,0,1.34,1.06,36.19,3.12,0,6.87,0,0,3.72,0,0,25.09,0,0,0,2778.26,9.18,11.72,8.85,1.4,29.13,0,0,0.68,0,113.06,0,0.63,6.75,1.13,0
 84-94,1.79,0,20.69,0,0,218.22,1.2,4,0.67,39.21,2.87,1.27,0,0,0.67,2.39,1.22,5.21,26.25,2.02,9.64,2.25,2191.48,6.58,15.37,5.14,0,42.86,0,0,0.6,0,104.27,0,0,4.87,0.68,2.83
 96-106,3.3,0,29.67,2.98,0,241.83,0.58,1.77,12.1,16.5,1.38,0,1.94,1.2,1.34,1.45,6.31,0,32.4,7.39,3.44,2.23,1772.89,7.92,6.7,2.97,3.85,36.81,2.06,0,1.32,0,66.76,4.84,0,1.71,0.88,7.26
108-118,6.18,0,31.3,4.99,6.86,187.01,0,17.69,4.57,17.36,5.69,0,2.47,1.79,2.72,0,1.35,4.09,50.49,0,1.4,0.9,1898.3,7.89,1.84,3.29,0,38.37,0,0,3.31,0,63.88,1.16,0,2.44,3.34,3.97
120,11.35,0,37.53,0,0,302.43,0,6.33,12.74,81.33,1.38,0,2.66,0,0,1.57,0,0,39.85,0,1.38,4.34,2945.79,14.45,53.63,18.94,0,30.97,0,0,0,0,85.56,0,0,1.51,0,0
