stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,notochord,paraxial_mesoderm,spinal_cord
  3-4,59.89,0,0,0,0,0,0,0,0,0
  5-6,18.92,0,0,0,0,0,0,0,0,0
  7-9,3.67,3.54,0,4.42,0,0,59.8,5.98,18.21,0
 10-12,0,21.96,0,0,0,0,47.82,0,0,0
 14-21,0,0,1.16,0,0,0,16.42,0,0,0
 24-34,0,0,0,0,0,8.82,0.98,0,0,1.19
 36-46,0,0,0,0,0,1.26,4.03,0,0,0
 48-58,0,0,0,0,0,1.31,0.61,0,0,0
 72-82,0,0,0,0,0.9,1.13,1.51,0,0,0
 84-94,0,0,0,1.46,0,1.42,1.4,0,0,0
 96-106,0,0,0,4.76,1.36,1.68,0,0,0,0
108-118,0,0,0,2.77,0,3.2,2.56,0,0,0
120,0,0,8.48,0,0,0,2.44,0,0,0
