stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.36,0,8.46,13.26,0,2.88,0,0,0,0.83,0,0,0.92,0,0,0,0,0,0,10.09,0,0,6.74,61.63,0,1,0,0,2.61,7.26,0,0,242.58,10.27,0,0,1.88,0,1.41
 24-34,0,1.34,1.83,9.17,0,12.42,0,4.39,3.24,4.1,2.13,0,0,0,3.64,0,1.9,0,0,12.32,0,0,15.01,258.59,1.86,0,0,0,9.4,0,0,0,54.08,44.19,0,0,7.98,0,4.78
 36-46,0,0,3.12,0,0,66.26,0.58,3.16,27.76,26.29,0.56,0,0,1.06,0,0,0.77,0,0,17.56,0,0,15.4,556.78,0,1.34,2.17,0,8.02,0,0,4.29,0,125.63,0,0,12.36,0,5.34
 48-58,0,0,1.73,0,0,114.59,0.44,7.09,27.72,34.07,0,0,0.87,17.75,0,0,0.94,0,0,28.01,0,5.53,14.2,282,0,0,0,0,1.23,0,0,0,0,56.53,0,0,1.38,0,7.19
 60-70,0,0,1.93,0,0,109.32,2.87,0.58,21.71,48.94,0,0,4.76,13.3,0,0,0,0,0,68.8,0,24.14,3.43,104.35,0,0,3.63,0,2.45,0,0,0,0,23.82,0,0,0,0,0
 72-82,0,0,6.68,0,0,68.77,0.76,0,16.51,48.61,0.53,0,7.07,14.38,0,0.52,0,0,0,80.39,2.18,68.98,11.84,103,0,0.56,0.49,3.18,0,0,0.86,0,0,14.77,0,0,6.31,0,5.9
 84-94,0,0,3.68,0,0,95.98,0.87,0,26.48,38.68,1.75,2.66,3.67,15.53,1.45,8.64,0,0,0,56.43,0,45.72,5.6,43.18,1.45,0,0,0.6,1.21,0,0,0,0,1.01,0.78,7.43,0,0,0.96
 96-106,0,0,12.6,0,0,98.1,2.76,2.07,23.45,101.55,0,0,19.76,23.89,1.57,2.56,0,0,0,64.38,0,47.52,6.77,54,0,0,0,3.14,6.48,0,0,0,0,2.3,0,2.99,6.12,5.57,0
108-118,0,0,6.32,5.93,0.89,109.38,0.49,0,3.81,98.51,0.43,0,6.12,23.57,0,9.58,0,0.44,3.06,64.01,0,49.59,10.12,42.23,0.51,0,4.24,0,6.86,0,0.59,0.68,0,0,0,0,9.86,1.42,0.6
120,0,0,8.11,3.96,0,68.52,0,0,9.44,215.89,0,0,3.84,15.26,0,0,0,0,0,110.53,0,58.77,5.92,71.27,0,0,1.1,0,9.31,0,0,0,0,0,0,0,0,25.81,4.74
