stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.92,78.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,46.05,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.81,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.44,0,0,0,3.47,0,0,10.04,0,0,0,0,0,0
 14-21,0,0,0,0,7.1,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,19.81,0,0.98,0,1.22,0,0,2.46,0,11.12,0,1.07,0,0
 24-34,0,0,0.75,0,2.39,0,3.1,0,0,4.14,0,0,0,0,0,1.29,1.57,0,0,3.41,83.23,0,11.47,1.23,0,0,2.62,2.4,0,14.96,0,4.98,0,0
 36-46,0,0,0.95,0,6.44,0,5.87,0.69,0,9.55,0,0.92,0,0,0,0,7.43,0,0,3.53,220.42,0,6.04,0.58,0,0,1.03,0,0,47.03,0,0.56,0,0
 48-58,0,0,0,0,2.02,0.45,43.36,0.93,0,20.45,0,0,2.78,0,0,0,13.68,0,0,1.24,522.65,0.52,3.04,0.83,0,0,1.09,0,0,77.75,0.61,4.48,0,0
 60-70,0,0,0,0,7.52,0,64.52,4.13,0,19.91,0.62,0,0,0,0,0,30.46,0,0,0,514.2,0,3.11,2.57,0,0,2.13,0,0,49.77,0,2.13,0,0
 72-82,0,0,2.3,0,4.66,0,121.58,0,0.71,32.88,0.72,1.02,0,0,0,0,33.51,0.59,2,1.26,557.46,0,6.97,4.1,0,0,2.26,0,0,48.4,1.53,3.09,0,0
 84-94,0,0,1.46,0,7.22,0,123.39,4.36,2.72,29.89,1.18,0,0,5,0,0,29.01,0,2.38,3.65,351.89,0,0.64,1.96,0,0,7.78,0,0,49.44,2.21,4.49,0,0
 96-106,0,0,0,0,7.9,2.11,99.15,0,0,20.5,1.08,1.61,0,1.41,1.32,0,39.26,0,0.59,1.91,351.16,0,10.11,3.27,0,0,2.65,0,1.11,16.15,1.21,13.31,2.25,5.5
108-118,0,0,0.71,0,10.92,0,71.21,0,0.44,10.51,0.68,0,1.13,1.71,0,0,34.2,0,0,0.99,363.26,0,13.36,2.54,0,1.8,0.48,0,0,11.17,0,7.63,0.54,0
120,0,0,4.41,0,7.83,0,48.64,0,13.45,13.83,1.29,0,7.01,0,0,0,27.54,0,1.45,0,446.12,0,0,2.28,0,0,0,0,0,13.63,0,4.97,4.54,0
