stage,epidermis,eye,fin_epithelia,glial,gut,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,periderm,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,5.76,3.21,0,4.32,0,0,0
 10-12,0,0,0,0,0,0,0,0,15.4,5.72,0,4.05,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0
 24-34,0,0.71,0,0,0,0,0,0,0.62,0,0,1.19,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.11,0,0,4.43,0,0,0
 48-58,0,1.93,0,0,0,0,0.4,0,1.04,0,0,11.27,0.66,0,3.49
 60-70,0,0,0,0,0,0,0,0,3.84,0,0.58,2.09,0,0,0
 72-82,0.53,1.2,0,0,0.63,0,0,0,0,0,0,2.73,0,0,0
 84-94,2.35,0,1.69,0,0,0,0,0,0,0,0,20.02,1.51,0,0
 96-106,1.43,6.48,0,0,0,0.95,0,0.61,0,0,0,32.77,0,0,0
108-118,0.67,0,0,0.92,0,0,1.8,1.22,7.29,0,0,39.89,0,0,0
120,1.39,0,0,0,0,0,0,1.11,2.62,0,0,19.45,0,1.35,0
