stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,180.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0
  5-6,72.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,0,0,6.56,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.75,0,0,0,0,4.43,0,0,0,0,0,0,0,48.93,0,0,6.21,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.27,0,0,0,0,3.83,0,0,0,0,0,0,0,26.91,0,0,3.91,0,5.62,0,0,0,0,0,0,0
 14-21,0,0,4.1,0,0,0.84,0,0,0,0,0,0,0,0,0,2.08,0,3.12,13.26,1.44,0,0,0,0.9,1.65,0,6.58,2.56,4.68,0,0
 24-34,0,2.11,1.61,0,0,6.45,0,0,1.25,0,0,0,0,0,0,0,0,0,97.19,19.65,0,0,0,0,0,0,4.26,0,13.7,0,0
 36-46,0,0,0.66,0,0,1.78,0,0,29.03,0,0,0,0,0,1.46,0.98,0,0,167.63,19.09,1.46,0,1.54,0,0,0,1.69,0,33.02,0,0
 48-58,0,0,1.13,0,0,18.29,0,0,72.61,0,0,0,0,0,2.72,1.98,0,0,283.01,31.12,0.5,0,0.39,0,0,0,0,0,43.07,0,0.87
 60-70,0,0,1.9,0,0,36.91,0,0,81.93,0,0,0,0,0,6.77,6.51,0,0,340.56,14.84,0,0,0,0,0,0,0,0,37.04,0,0
 72-82,0,0.79,1,0,0.76,40.52,0.55,0,102.26,0,0,2.38,0,6.91,5.79,3.66,0,0.71,277.96,26.61,3.41,0,0,0,0,0,0,0,15.22,0.56,0
 84-94,0,0,15.19,0,0,59.05,0,0,79.27,1.36,0,1.12,0.67,0,19.97,12.61,0,0,254.85,24.46,2.42,0,6.89,0,0,0,0,0,21.8,4.67,0
 96-106,0,0,9.37,3.03,0,29.22,0.58,0.76,123.76,0,0,2.48,2.23,0,13.5,0.98,0,0,231.46,63.48,2.1,0,5.02,0,0,0,0,0,30.28,0,0.77
108-118,0,0,7.57,0,0,41.36,0,0,122.38,0.95,0,2.87,0.63,0.46,33.92,7.51,0.94,0,416.85,44.52,1.56,0,2.64,0,0,0,0,0,0,1.86,0
120,0,0,3.69,0,0,15.22,0,0,178.28,0,0,0,0,0,5.37,13.04,0,0,577.66,27.15,3.1,0,0,0,0,2.39,0,0,5.31,0,0
