stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.62,0,0,16.33,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.75,0,0,5.05,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,2.36,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.64,0,0,0.63,0,0,0,6.46,0,0,0,6.17,0,0,0.64,0.75,2.85,0,26.17,0.67,0,0
 36-46,0,6.96,0,6.46,1.17,0,0,0,0,0,0,1.59,0,0,0,2.02,0,4.27,20.39,0,0,0,46.56,0.81,0,0
 48-58,0,2.54,0,2.21,1.45,0,0,0,0,0,0,5.9,0,0,0,4.18,0.82,0.48,0.38,0,4.78,0,20.98,0,0,8.91
 60-70,0,3.81,0,6.29,0,0,2.02,0,4.48,0,0,13.22,0,1.35,0,6.94,0,1.18,2.03,0.72,0.77,0,37.67,1.4,0,9.75
 72-82,0,7.4,0,4.46,0,5.46,3.33,3.97,0,0,0.56,1.13,0,0.76,0,19.54,3.89,1.64,7.51,0,0,0,58.95,0,1.33,0
 84-94,0,15.98,0,10.75,0,1.65,1.76,1.38,0,0,0,11.89,2.29,1.13,0.89,10.74,4.39,0,14.95,3.55,1.78,0,139.47,0,2.81,0.89
 96-106,0,20.66,1.82,10.5,9.15,0,0,7.75,0,1.33,0.66,10.76,1.2,0,1.71,25.69,7.62,1.66,8.81,5.2,5.27,0,134.6,0,0,0
108-118,0.85,47.7,0,4.13,5.08,0,3.99,5.91,0,0,0.55,9.9,5.55,2.33,1.58,22.8,11.73,1.23,5.07,1.33,1.98,0,115.45,0,0.55,0
120,0,12.94,0,0,0,0,0,3.45,0,0,0,4.44,0,0,1.05,11.22,0,0,15.85,0,1.16,0,18.71,0,0,0
