stage,blastomeres,epidermis,eye,fast.muscle,immune,mesenchyme,muscle,neural,paraxial.mesoderm,slow.muscle,somites,vasculature,xanthophores
  3-4,188.39,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,125.25,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.2,0,0,0,0,0,0,24.7,6.94,0,0,0,0
 10-12,0,0,5.94,0,0,0,0,6.05,14.17,0,0,0,0
 14-21,0,0,0,0,0,0,0.91,0,0,1.27,1.38,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.78,2.19,0,0
 36-46,0,0.73,0,6.74,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.11,0,0,0,0.38,0
 60-70,0,0,0,0,0,1.36,0.67,0,0,2.94,0,0,0
 72-82,0,0,0,0,0,7.7,0,0,0,0,0,0,7.99
 84-94,0,0,0,0.69,0.55,2.58,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.3,3.43,1.21,1.69,0,0,0,0,0
108-118,0,0,0,6.96,10.98,4.43,0,0.54,0,0.69,0,0,0
120,0,0,0,0,10.53,4.64,0,14.79,0,0,0,0,0
