stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3.43,4.98,70.39,4.88,0,71.08,0,4.08,0,3.14,2.11,1.58,18.71,0,0,0,0,2.29,23.52,51.5,0,0,31.52,851.38,9.81,5.71,15.16,0,0,23.7,1.28,11.61,3.26,384.01,225.28,278.02,0,0,3.91,0,57.18
 24-34,0,0,35.02,0.62,0,334.85,0,13.62,0,6.76,0.71,0,41.64,0,0,1.76,4.63,10.67,160.33,45.5,0,0,18.07,1938.44,3.42,6.79,24.26,0,0,7.82,0,1.02,1.91,32.79,7.95,592.66,0,0,2.99,0,100.94
 36-46,0,0,10.93,0,0,1282.47,0.68,3.45,0.72,43.98,0,0,30.3,0.74,0,32.61,11.18,1.77,120.08,84.8,0,0.55,16.81,2684.53,0,10.96,4.66,0,0.97,15.93,0,0,0.94,20.84,0.83,873.26,0,0.85,7.65,0,119.85
 48-58,0,0,15.25,0.45,0,2155.45,4.65,10.63,6.66,179.65,0,0,8.23,0,0.49,69.56,7.35,0.48,101.69,120.28,2.35,1.13,46.61,3127.76,0.69,3.28,3.02,0,7.3,12.27,0,0,4.54,19.26,0,944.62,0,0,5.88,0,145.31
 60-70,0.82,0,44.85,0,0,2944.9,7.15,7.14,0.87,359.76,0,1.17,7.79,13.76,1.63,145.35,8.49,0,92.72,130.64,0,9.05,18.27,3264.9,7.35,0,0.94,0,0,12.97,0,0,2.65,37.51,0,819.23,2.99,2.99,1.49,1.13,98.05
 72-82,1.04,0,23.25,11.08,0,1973.18,7.12,7.33,3.86,668.24,0,0,3.25,0,1.55,121.76,8.55,7.44,37.99,136.14,0,0.85,5.84,2318.8,0,5.29,7.64,0,0,8.08,0,0,3.55,20.3,0,433.53,30.81,10.53,12.74,2.05,100.26
 84-94,0,0,51.49,4.85,0.6,1544.21,32.34,1.41,3.26,573.82,0,0,5.6,4.56,0.55,123.56,24.09,0.81,108.54,129.21,0,4.87,5.9,1808.48,0,1.41,9.97,0,4.47,18.48,0,0,5.7,15.05,0,310.31,68.99,2.52,9.7,5.63,63.84
 96-106,6.88,0,31.57,8.49,4.23,1179.72,11.15,12.56,0,769.74,3.41,0,10.03,4.13,4.88,176.23,8.31,2.57,35.9,107.83,0,6.64,11.31,1397.73,0,0,9.85,1.2,0,19.89,0,0,4.24,31.93,0,132.5,80.31,2.61,21.47,6.85,57.52
108-118,0,0,37.62,4.47,5.59,1102.18,14.85,2.33,2.88,854.49,0.5,0,6.49,3.25,3.09,247.96,11.84,12.19,120.08,143.16,0.54,7.81,18.48,1903.09,0.85,2.89,18.68,0,1.49,13.44,0,0,1.16,13.47,0,107.97,94.99,6.85,17.19,4.43,83.93
120,0,0,34.93,5.04,1.71,1502.13,29.05,4.91,2.83,1162.55,2.3,0,3.46,15.62,1.98,269.62,6.01,9.26,38.16,160.44,0,2.61,12.23,2828.16,3.89,16.58,10.76,0,17.54,28.19,0,0,8.4,10.72,0,170.06,45.76,19.9,0,0,54.61
