stage,blastomeres,endoderm,erythrocytes,eye,fin.epithelia,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature
  3-4,106.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,80.92,0,0,0,0,0,0,0,0,0,0,7.6,0,14.07,0,0,0
  7-9,0,8.23,0,8.58,0,0,0,0,0,0,0,31.24,15.72,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,20.9,0,0,0,0,0
 14-21,0,0,1.07,0,0,0,0,0,1.11,0,0,0.9,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,0.6,1.2
 36-46,0,0,0,0.64,0,0,0,0,0,0,0,3.98,0,0,0,0,0
 48-58,0,0,0,0,0,2.03,0.67,0,0.99,1.02,0,3.79,0,0,0.56,0.66,0
 60-70,0,0,0,0.72,0,0,0,0,2.11,0,0,7.86,0,0,0,0,0
 72-82,0,0,1.26,0.73,0,0,0,0,2.87,0,0,2.1,0,0,0,0,0
 84-94,0,0,0,0,0.8,0,0,0,0.59,0,0,0.58,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.55,1.54,0,0,0.62,0,0,0,0,3.26
108-118,0,0,0,0,0,0,0,2.35,2.11,0,1.13,1.1,0,0,0,0,0
120,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0,0,1.26
