stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.67,217.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.55,162.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.62,5.55,0,15.39,0,0,0,27.53,0,0,0,0,7.01,0,0,0,0,0,0,150.24,0,0,67.16,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.41,0,5.46,0,30.38,0,0,0,0,0,0,0,0,0,0,0,346.07,0,0,141.73,0,0,9.78,0,0,0,0,0
 14-21,0,0,0,0,1.69,2.88,0,0,0,0,0,1.03,0,0,0,0,1.17,0,3.04,12.63,0.88,0,0,0,3.08,0,1.11,6.77,0,0,0
 24-34,0,0,0,0,0,0,0,1.75,0,0.83,0,0,0,0,0,0,3.04,0,0,25.02,0,1.63,0,0,0,0,0,1.41,0,0,0
 36-46,0,0,0,0,0,0,0,2.96,0,0,1.65,0,0,0,0,0,0,0,0,66.48,0,0.94,0,0,0,0,0,7.2,0,0,0
 48-58,0,0,0,0,0,0,0,5.39,0,0,6.4,0,0,0,0,0,5.88,0,0.41,65.66,0.42,0,0,0,0,0,0,8.84,0,1.44,0
 60-70,0,0,0,0,3.03,3.14,0,17.04,0,4.27,7.81,0,0,0,0,0.77,2.07,0.62,0,51.99,0,0,0,0.62,0,0,0,10.21,0,0,0
 72-82,0,0,0,0,1.35,0.49,0,2.51,0.5,1.05,1.95,0.58,0,0,0,0,6.35,0,1.36,50.1,0,0.56,0,0,0,0,0,8.33,0,2.01,0
 84-94,0,0,0.81,0,0,0,0,3.73,0,0,7.1,0,0,0,0,0,2.03,0,1.59,15.69,0,0,0,0.93,0,0,0,2.02,1.04,0,0
 96-106,0,0,0,0,0,0,3.86,2.49,1.9,0,2.57,0,0,0.61,0,0,5.85,0,0.64,23.68,0,0,0,0,0,0,0,0,0,0,1.33
108-118,0,0,0,0,0.58,0,0,5.74,0.42,0.75,3.04,0,0,0,1.52,0,5.69,0,0,23.69,0,0,0,0,0,0,0,8.54,0,4.18,1.27
120,0,0,0,0,0,5.21,0,11.21,0,0,0,0,0,0,0,0,0,0,0,24.7,0,0,0,1.25,0,0,0,0,0,0,0
