stage,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,otic,spinal.cord,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,7.97,0,0,0,0,0
 14-21,0,0,0,0,0,5.72,0,0,0,0,4.78
 24-34,1.71,0,0,0,0,4.55,0,0,0.66,0,3.91
 36-46,0,1,0,0,0,1.75,0,0,0,0,0
 48-58,0,7.63,0,0.62,0,3.67,0,0.42,0,0,6.93
 60-70,0,0,0,0,0,2,0,0,0,0,0
 72-82,0,1.8,0,0,0.56,2.95,0,0,0,0,1.86
 84-94,0,0,0,0.81,0,5.5,0,0,3.43,1.13,0
 96-106,0,0.79,0,0,0,2.69,0,0,0,0,0
108-118,0,0,0,0,0,2.1,0.47,0,0,0,0
120,0,0,3.1,0,0,0,0,0,0,0,1.96
