stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,16.8,97.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.34,146.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.59,4.84,0,0,19.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.38,0,0,0,0,0,0,0,0,0,0,0,0,49.65,0,0,0,22.07,0,0,10.11,0,0,0,0,0,0
 14-21,0,0,0,0,1.2,130.84,1.6,0,0,0,0,6.63,0.89,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,2.01,0,130.99,0
 24-34,0,0,0,0,0.66,7.13,0.62,0,0,1.24,4.01,35.66,2.68,0,0,0,2.13,0,0.72,42.85,0,0,0,0,0,0.82,0.78,3.41,0.76,4.34,0,719.87,0
 36-46,0,0,0,0,0,0.61,4.46,0,0,0,0,19.72,1.09,0,0,1.09,0.7,0,3.01,20.21,2.85,0.75,0,0,0,0,0,1.2,0,2.89,0,306.08,0
 48-58,0,0,0,0,0.45,3.95,6,0,0.42,0,0.53,17.13,2.58,0,0,0,0,0,0.87,23.07,0,0,0.61,0,0,6.32,0,0,0,1.73,0,250.53,0
 60-70,2.52,0,0.89,0,0,10.02,11.66,0,0,0,2.66,12.66,4.54,0,0,0,0.76,0,0,21.92,0,0,0,0,0,0,0,0,0,16.74,0,275.96,0
 72-82,0,0,0,0,5.54,4.92,9.45,0,0,0.55,0,15.16,9.22,0,0,0,4.15,0,0,23.99,0,0,0,0,0,0,0,0,0,6.1,0.56,428.65,0
 84-94,0,0,0,0,0.96,0.76,6.74,0,0,1.55,0,11.81,9.21,0,0,0,4.98,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,343.61,0
 96-106,0,0,0,0,0,8.96,8.51,0.97,0,0.82,1.82,20.8,14.65,0.64,2.47,0,16.79,0,1.84,9.31,0,0,1.16,0,1.67,3.01,0.6,0,0,0,0,423.53,0.65
108-118,0.45,0,0,0,0,0,10.13,0,1.14,1.05,0,5.09,5.16,1.05,0,0,4.9,0,1.68,20.04,0,0,4,0,1.6,1.66,1.55,0.53,0,0,0,463.68,0
120,0,0,0,0,0,6.81,8.54,0,0,0,0,25.65,12.58,0,0,0,6.47,2.76,0,44.92,0,0,4.64,0,0,1.67,0,0,0,0,0,571.51,0
