stage,axial,endocrine_pancreas,epidermis,eye,glial,hatching_gland,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.16,0,0,0,4.18,0,0,11.15,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.13,0,0,0,0,0,0,0,0,11.64,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.99,0,0,0,0,0,0.95,0,0,0,0,0,0,3.35,0,0,0,0
 24-34,0,0,2.09,0,0,0,0,0,0,32.32,0,0,0,0,0.65,0.67,13.15,0,0,0.85,0
 36-46,0,0,0,1.61,3.1,0,0,0,0.61,53.69,0,0,0,0,0,0,18.61,0,0,0,0
 48-58,0,0,1.84,3.88,0,0,0,1.03,0.58,70.94,0.73,0,0,0,0,0,14.88,0,0,0,0
 60-70,0,0,0,8.16,0.76,0,0,4.24,3.06,121.9,1.09,0,0,0,3.62,1.33,9.99,0,0,0,0
 72-82,0,0,0,34.73,11.53,0,0,0,0.98,145.96,0.87,0.71,0,0,0,0,7.27,0,0,0,0
 84-94,0,1.29,0,36.91,0,0,0.67,0,2.44,144.71,0,0,0,0,1.8,0,1.21,0,0,0,0
 96-106,0,0.61,0,29.94,2.06,0,0,7.15,2,123.71,0.57,1.97,0,0,0,0,5.84,0,1.48,0,8.85
108-118,0,0,2.27,32.95,5.42,0,0,5.95,0.67,130.17,0,1.79,0,2.78,0,0,12.45,0.68,0,1.89,0
120,0,0,0,147.96,11.34,0,0,12.15,4.13,319.84,0,2.84,0,0,0,0,27.34,0,0,0,0
