stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.82,0,0,0,3.26,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26.98,0,0,0,0,12.24,0.69,0,1.32,0,0,5.7,0,0,0
 36-46,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,7.08,0,12.03,0,0,0,1.36,250.84,0,1.4,0,0,0,6.07,0,0,0
 48-58,0,0,0,0,0,2.84,0,0,0,2.99,0,0,0,0,0,0,0,0,1.29,0,0.84,125.87,0,0,4.54,0,0.71,0,0,0,0
 60-70,24.75,0,0,0,1.93,7.78,0,0,0,0.98,1.06,0,0,0,0,0,0,0,14.79,0,0,127.12,0,0,3.17,0,0.74,1.48,0,0,0
 72-82,0,7.31,2.18,0,52.73,0.63,0,0,3.42,4.42,160.26,0,0,0,0,0,0,0,1.62,0,0.5,34.39,0,0,3.19,0,0,3.85,0,0,0
 84-94,0,0,0,4.54,65.25,13.83,0,0,0,1.47,428.3,0,0,0,0,0,37.86,0,5.21,0,0,233.45,0,0,2.09,0,0,5.73,0,0,0
 96-106,0,0,4.24,10.33,59.03,33.95,34.49,0,0,15.32,1550.65,0,0,0,0,0,0,7.05,20.62,0,0,41.93,0,2.4,0,0,4.7,0,1.15,1.38,5.9
108-118,0,0,7.65,10.62,84.61,15.22,0.47,1.36,0,19.29,6074.57,0,0,3.84,0,0,0.63,2.1,64.69,5.43,2.36,551.96,0,0,2.39,0,10.62,0,0,4.59,6
120,0,0,0,0,3.36,2.6,0,0,0,12.02,4087.32,5.2,1.54,0,0,2.11,0,0,22.24,0,0,55.21,0,0,0,0,6.52,0,0,0,0
