stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,5.64,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,11.61,0,0,0,0,0,0,0,0
 14-21,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0
 24-34,0,0,0.83,0,0,0,0,0,0,0.68,0,0,0.6,0,0,0,0.65,14.22,0,0,0,0,15.18,1.77,0,0,0,0,0
 36-46,0,0,0.67,0,0.66,1.17,0,1.51,0.59,0,0,0,0,2.03,0.59,0,0,19.37,0,0,0,0,12.49,0,0,0,0,0,4.56
 48-58,0,0,0.51,0,0.52,0.46,0,0.75,0,0,7.88,0.41,0,2.93,0.52,0,0,12.46,0,0,0,0,2.81,0,0.82,0.44,0,0,2.49
 60-70,0,0,0,0,0,0.61,4.18,0,0,0,0,0,0,3.02,0,0,0,19.99,0,0,0,0,1.87,0.64,0,0.99,0,0,0
 72-82,0,0,1.68,0,2.78,2.85,0,4.16,0,0,0.9,2.08,0.88,9.12,0.59,2.56,0,39.46,0,0,0,0,6.75,0,2.56,1.07,0,3.43,0
 84-94,0,0,4.27,0,4.33,0.66,2.71,0.71,0,0,0,0,1.26,3.64,4.58,0,0,20.01,0,0,0,0,2.87,0,0,1.07,3.01,9.26,0
 96-106,0,0,4.73,0,0,8.13,0,5.7,0.7,0,0,0,0,3.15,0,7.81,0,43.91,1.49,1.82,0,2.62,13.09,0,0,1.95,0,1.42,0
108-118,0,0,10.33,2.27,6.16,0.89,0,10.82,1.98,0,0,0,1.31,19.52,0,5.4,0,47.62,0.93,0,0,4.36,1.08,0,1.12,4.02,0,6.87,0
120,0,0,8.2,0,8.92,1.12,19.42,2.7,6.96,0,0,0,0,4.33,0,12.5,0,17.93,0,0,0,0,1.19,1.94,0,0,0,9,0
